,Province,Canton,District,lat,long
214,CARTAGO,EL GUARCO,SAN ISIDRO,9.8285009,-83.96119639999999
215,ALAJUELA,LOS CHILES,DESCONOCIDO,11.0336891,-84.71326959999999
216,SAN JOSE,SAN JOSE,MATA REDONDA,9.9334277,-84.1103725
217,LIMON,SIQUIRRES,GERMANIA,10.0981388,-83.5096859
218,CARTAGO,EL GUARCO,PATIO DE AGUA,9.8448839,-83.9453168
219,GUANACASTE,LA CRUZ,DESCONOCIDO,11.0708272,-85.6306396
220,LIMON,GUACIMO,DESCONOCIDO,10.2127003,-83.6866091
221,GUANACASTE,TILARAN,DESCONOCIDO,10.4563619,-84.9713512
222,GUANACASTE,NANDAYURE,CARMONA,9.9903778,-85.2521952
223,CARTAGO,CARTAGO,SAN NICOLAS,9.903192899999999,-83.94266979999999
224,HEREDIA,BARVA,SAN PEDRO,10.0286419,-84.13571069999999
225,LIMON,POCOCI,CARIARI,10.488088,-83.6135572
226,PUNTARENAS,PUNTARENAS,CHIRA,9.9778439,-84.82942109999999
227,SAN JOSE,DESCONOCIDO,DESCONOCIDO,9.9280694,-84.0907246
228,SAN JOSE,DOTA,SANTA MARIA,9.548854,-83.985008
229,SAN JOSE,LEON CORTES,SAN PABLO,9.6841689,-84.03921079999999
230,ALAJUELA,SAN RAMON,VOLIO,10.129771,-84.45779399999999
231,HEREDIA,SARAPIQUI,DESCONOCIDO,10.4539873,-84.01938609999999
232,SAN JOSE,SAN JOSE,ZAPOTE,9.9191024,-84.05966699999999
233,GUANACASTE,ABANGARES,COLORADO,10.280573,-84.958445
234,ALAJUELA,SAN CARLOS,VENADO,10.55606,-84.754272
235,ALAJUELA,ZARCERO,DESCONOCIDO,10.1864136,-84.39189739999999
236,CARTAGO,OREAMUNO,SAN RAFAEL,9.866349,-83.902951
237,CARTAGO,ALVARADO,DESCONOCIDO,9.916195,-83.8095774
238,ALAJUELA,LOS CHILES,CANO NEGRO,10.89241,-84.79567
239,GUANACASTE,CANAS,BEBEDERO,10.3687827,-85.19588110000001
240,ALAJUELA,GRECIA,GRECIA,10.0731003,-84.3122803
241,CARTAGO,LA UNION,DULCE NOMBRE,9.9261733,-83.97879879999999
242,CARTAGO,CARTAGO,OCCIDENTAL,9.8625864,-83.9254615
243,ALAJUELA,UPALA,AGUAS CLARAS,10.8174281,-85.1725618
244,HEREDIA,BARVA,DESCONOCIDO,10.0190909,-84.1237232
245,CARTAGO,OREAMUNO,COT,9.866349,-83.902951
246,ALAJUELA,ALAJUELA,DESAMPARADOS,10.0236936,-84.18768879999999
247,ALAJUELA,ATENAS,SANTA EULALIA,10.0052388,-84.3699767
248,GUANACASTE,CARRILLO,PALMIRA,10.5143198,-85.5727878
249,GUANACASTE,CANAS,PALMIRA,10.5415789,-85.0889205
250,GUANACASTE,LIBERIA,CURUBANDE,10.7197949,-85.4104706
251,ALAJUELA,ALAJUELA,LA GARITA,9.982251999999999,-84.3279093
252,SAN JOSE,ASERRI,TARBACA,9.8641706,-84.0933652
253,SAN JOSE,MORA,QUITIRRISÃ,9.8811276,84.2377742
254,CARTAGO,OREAMUNO,POTRERO CERRADO,9.866349,-83.902951
255,SAN JOSE,MORAVIA,SAN VICENTE,9.9634381,-84.0458176
256,HEREDIA,SAN PABLO,SAN PABLO,9.9968342,-84.09633409999999
257,SAN JOSE,PEREZ ZELEDON,CAJON,9.290111999999999,-83.583046
258,SAN JOSE,ALAJUELITA,CONCEPCION,9.9235557,-83.9929431
259,ALAJUELA,SAN MATEO,DESCONOCIDO,9.941030099999999,-84.5274616
260,HEREDIA,SARAPIQUI,LA VIRGEN,10.4015672,-84.1342789
261,SAN JOSE,ALAJUELITA,SAN ANTONIO,9.901608,-84.09947
262,PUNTARENAS,OSA,PIEDRAS BLANCAS,8.78397,-83.2372175
263,HEREDIA,SAN RAFAEL,SAN JOSECITO,10.0159804,-84.1052462
264,SAN JOSE,DESAMPARADOS,GRAVILIAS,9.8934374,-84.0583685
265,ALAJUELA,SARCHÃ,SARCHI SUR,10.08412880,-84.33974380
266,GUANACASTE,CANAS,SAN MIGUEL,10.3533962,-85.0801601
267,SAN JOSE,SANTA ANA,URUCA,9.959179299999999,-84.1197643
268,SAN JOSE,PEREZ ZELEDON,PLATANARES,9.206807099999999,-83.6429252
269,CARTAGO,PARAISO,CACHI,9.839358899999999,-83.8637825
270,CARTAGO,LA UNION,SAN RAMON,9.9412369,-83.992806
271,GUANACASTE,SANTA CRUZ,CUAJINIQUIL,10.9432945,-85.6858616
272,PUNTARENAS,BUENOS AIRES,BIOLLEY,9.1672952,-83.3308421
273,SAN JOSE,PURISCAL,MERCEDES SUR,9.8168351,-84.356564
274,CARTAGO,TURRIALBA,EL CHIRRIPO,9.5134327,-83.49462179999999
275,SAN JOSE,SANTA ANA,BRASIL,9.9312697,-84.1820735
276,LIMON,GUACIMO,POCORA,10.1668658,-83.6055732
277,SAN JOSE,ACOSTA,GUAITIL,9.792221,-84.2311727
278,PUNTARENAS,BUENOS AIRES,BUENOS AIRES,9.1672952,-83.3308421
279,GUANACASTE,ABANGARES,DESCONOCIDO,10.280573,-84.958445
280,CARTAGO,CARTAGO,QUEBRADILLA,9.8436129,-83.9909594
281,HEREDIA,SANTA BARBARA,SANTO DOMINGO,10.0640008,-84.1553444
282,PUNTARENAS,PUNTARENAS,CHOMES,10.0438519,-84.9082428
283,ALAJUELA,SAN RAMON,SANTIAGO,10.0643085,-84.4868185
284,PUNTARENAS,PUNTARENAS,ACAPULCO,9.9752567,-84.8325356
285,HEREDIA,BARVA,SAN ROQUE,10.0137547,-84.1369175
286,ALAJUELA,SAN MATEO,SAN MATEO,9.941030099999999,-84.5274616
287,PUNTARENAS,PUNTARENAS,COBANO,9.711013699999999,-85.1271907
288,HEREDIA,SANTO DOMINGO,SAN MIGUEL,9.980227,-84.0511025
289,SAN JOSE,TIBAS,DESCONOCIDO,9.964000000000002,-84.0775201
290,SAN JOSE,SANTA ANA,SALITRAL,9.908751700000002,-84.17912
291,SAN JOSE,MORA,PIEDRAS NEGRAS,9.910495,-84.3219912
292,PUNTARENAS,COTO BRUS,LIMONCITO,8.8278645,-83.01599569999999
293,HEREDIA,SAN ISIDRO,SAN ISIDRO,10.0182399,-84.055129
294,ALAJUELA,GUATUSO,BUENAVISTA,10.7425979,-84.832527
295,GUANACASTE,SANTA CRUZ,DIRIA,10.2671589,-85.58762279999999
296,PUNTARENAS,GOLFITO,GOLFITO,8.6040618,-83.1133792
297,HEREDIA,SANTO DOMINGO,DESCONOCIDO,9.980723399999999,-84.0909289
298,PUNTARENAS,COTO BRUS,PITTIER,8.954044999999999,-83.070404
299,ALAJUELA,RIO CUARTO,SANTA ISABEL,10.3415389,-84.21602279999999
300,CARTAGO,EL GUARCO,TOBOSI,9.8449899,-83.984093
301,LIMON,LIMON,VALLE LA ESTRELLA,9.989639799999999,-83.03324169999999
302,PUNTARENAS,PUNTARENAS,LEPANTO,9.8889981,-85.1271907
303,ALAJUELA,SAN MATEO,JESUS MARIA,9.9614943,-84.58771829999999
304,ALAJUELA,SAN RAMON,PENAS BLANCAS,10.1167935,-84.6694885
305,ALAJUELA,ALAJUELA,SARAPIQUI,10.0159394,-84.21417009999999
306,SAN JOSE,MONTES DE OCA,SAN RAFAEL,9.945804100000002,-83.9929431
307,PUNTARENAS,OSA,CORTES,9.2169531,-83.33618799999999
308,CARTAGO,OREAMUNO,SANTA ROSA,9.918466600000002,-83.84010049999999
309,SAN JOSE,PURISCAL,SANTIAGO,9.849876,-84.3164496
310,CARTAGO,TURRIALBA,TAYUTIC,9.8224438,-83.556316
311,SAN JOSE,ESCAZU,SAN ANTONIO,9.8899694,-84.1382368
312,CARTAGO,PARAISO,SANTIAGO,9.8692771,-83.7990228
313,ALAJUELA,UPALA,DELICIAS,10.8979462,-85.0155499
314,HEREDIA,FLORES,BARRANTES,10.0154017,-84.151428
315,LIMON,MATINA,DESCONOCIDO,10.0770702,-83.29073389999999
316,ALAJUELA,ZARCERO,ZARCERO,10.1864136,-84.39189739999999
317,SAN JOSE,PURISCAL,GRIFO ALTO,9.8775769,-84.3890299
318,GUANACASTE,LIBERIA,CANAS DULCES,10.7362897,-85.48138349999999
319,GUANACASTE,TILARAN,CABECERAS,10.4563619,-84.9713512
320,CARTAGO,TURRIALBA,SANTA CRUZ,9.9646138,-83.7292111
321,ALAJUELA,UPALA,UPALA,10.8979462,-85.0155499
322,HEREDIA,SAN RAFAEL,LOS ANGELES,10.0144716,-84.0986459
323,ALAJUELA,ALAJUELA,CARRIZAL,10.0867332,-84.1685722
324,ALAJUELA,SAN RAMON,ANGELES,10.0910284,-84.4703933
325,ALAJUELA,NARANJO,NARANJO,10.0974116,-84.3831166
326,ALAJUELA,OROTINA,HACIENDA VIEJA,9.920282199999999,-84.49311610000001
327,ALAJUELA,ATENAS,ESCOBAL,9.9393041,-84.42251859999999
328,GUANACASTE,LIBERIA,NACASCOLO,10.6345964,-85.4406747
329,CARTAGO,TURRIALBA,PAVONES,9.90151,-83.62553129999999
330,CARTAGO,LA UNION,SAN JUAN,9.8638091,-83.91619349999999
331,CARTAGO,JIMENEZ,JUAN VINAS,9.893716699999999,-83.74655059999999
332,SAN JOSE,SANTA ANA,POZOS,9.9312697,-84.1820735
333,SAN JOSE,ASERRI,SALITRILLOS,9.8545772,-84.09284310000001
334,ALAJUELA,OROTINA,DESCONOCIDO,9.9120206,-84.5194688
335,SAN JOSE,PEREZ ZELEDON,SAN PEDRO,9.276169,-83.549606
336,ALAJUELA,GRECIA,BOLIVAR,10.0731003,-84.3122803
337,ALAJUELA,ALAJUELA,GUACIMA,9.958908599999999,-84.26475219999999
338,LIMON,SIQUIRRES,PACUARITO,10.1015006,-83.4683562
339,HEREDIA,SANTO DOMINGO,PARACITO,10.0082945,-84.0253342
340,PUNTARENAS,BUENOS AIRES,COLINAS,9.1672952,-83.3308421
341,HEREDIA,BARVA,SAN JOSE DE LA MONTA?A,10.0843362,-84.1118458
342,SAN JOSE,TURRUBARES,SAN PEDRO,9.875525999999999,-84.445168
343,HEREDIA,BELEN,DESCONOCIDO,9.979719099999999,-84.1804384
344,PUNTARENAS,OSA,SIERPE,8.560906,-83.46435509999999
345,PUNTARENAS,COTO BRUS,SABALITO,8.8162931,-82.9098133
346,CARTAGO,CARTAGO,ORIENTAL,9.861078299999999,-83.9188416
347,LIMON,POCOCI,ROXANA,10.398632,-83.6135572
348,SAN JOSE,ACOSTA,DESCONOCIDO,9.8000005,-84.1580225
349,PUNTARENAS,CORREDORES,LA CUESTA,8.4886866,-82.8492538
350,CARTAGO,PARAISO,PARAISO,9.839214,-83.8664076
351,SAN JOSE,PEREZ ZELEDON,DESCONOCIDO,9.35473,-83.63484299999999
352,GUANACASTE,CARRILLO,FILADELFIA,10.4440491,-85.5514441
353,PUNTARENAS,BUENOS AIRES,BORUCA,9.1672952,-83.3308421
354,SAN JOSE,PEREZ ZELEDON,RIO NUEVO,9.419146999999999,-83.795135
355,GUANACASTE,NANDAYURE,PORVENIR,9.9903778,-85.2521952
356,PUNTARENAS,MONTES DE ORO,SAN ISIDRO,10.0529075,-84.7289442
357,SAN JOSE,GOICOECHEA,SAN FRANCISCO,9.9423579,-84.0728979
358,CARTAGO,CARTAGO,GUADALUPE,9.8615532,-83.9453168
359,GUANACASTE,TILARAN,TILARAN,10.4563619,-84.9713512
360,SAN JOSE,TURRUBARES,DESCONOCIDO,9.9454893,-84.1021057
361,CARTAGO,TURRIALBA,SANTA ROSA,9.9278734,-83.697328
362,ALAJUELA,POAS,SAN JUAN,10.07124,-84.24655899999999
363,GUANACASTE,ABANGARES,LAS JUNTAS,10.2812663,-84.9596457
364,CARTAGO,LA UNION,RIO AZUL,9.891627699999999,-84.0345856
365,ALAJUELA,GRECIA,PUENTE DE PIEDRA,10.0474759,-84.31645999999999
