,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,ID_DISTRITO,PROPIETARIO,SHAPE
20,21,NO CATÓLICA,IGLESIA UNA PROMESA DE ESPERANZA,PROMESA DE ESPERANZA,9,PRIVADO,"{'rings': [[[486445.12210000027, 1098829.5493], [486449.7915000003, 1098861.1846999992], [486450.61569999997, 1098861.0625], [486473.69990000036, 1098857.8723000009], [486468.7686999999, 1098825.5317000002], [486445.12210000027, 1098829.5493]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,22,CATÓLICA,PARROQUIA DE NUESTRA SEÑORA DE LORETO - SALÓN PARROQUIAL,PARROQ. DE LORETO ,9,ESTADO,"{'rings': [[[486256.6403000001, 1099448.9419], [486255.7692999998, 1099446.1619000006], [486256.37009999994, 1099446.0508999992], [486256.7002999997, 1099445.9209000003], [486257.0103000002, 1099445.7609], [486257.2905000001, 1099445.5609000009], [486257.5504999999, 1099445.320699999], [486257.78050000034, 1099445.0506999996], [486257.9707000004, 1099444.7607000005], [486258.12069999985, 1099444.4405000005], [486258.2307000002, 1099444.1105000004], [486258.30069999956, 1099443.770300001], [486258.32070000004, 1099443.4202999994], [486258.30069999956, 1099443.0701000001], [486258.24069999997, 1099442.7301000003], [486258.13069999963, 1099442.3899000008], [486257.9807000002, 1099442.0799000002], [486257.7906999998, 1099441.7796999998], [486257.57070000004, 1099441.5097000003], [486263.44489999954, 1099440.7675], [486258.79839999974, 1099430.7907999996], [486257.0262000002, 1099431.4997000005], [486245.0405000001, 1099427.5308999997], [486237.3772999998, 1099424.1923999991], [486234.2637, 1099432.5868999995], [486230.71270000003, 1099431.1864999998], [486229.7023, 1099433.7971], [486233.32349999994, 1099435.1076999996], [486231.0729, 1099441.179300001], [486227.48170000035, 1099439.8289], [486226.3013000004, 1099442.9799000006], [486229.9124999996, 1099444.3003000002], [486228.2619000003, 1099445.3806999996], [486228.8021, 1099446.2709], [486228.3718999997, 1099447.5313000008], [486229.1523000002, 1099448.8717], [486230.27249999996, 1099449.2116999999], [486230.28249999974, 1099450.382099999], [486231.80289999954, 1099449.6519000009], [486231.81290000025, 1099449.6519000009], [486232.3831000002, 1099449.8818999995], [486231.3616000004, 1099452.2364000008], [486231.52689999994, 1099452.7986999992], [486235.5055999998, 1099454.2075999994], [486235.74370000046, 1099453.7313], [486237.6486999998, 1099454.2869000006], [486241.5541000003, 1099455.6523000002], [486248.6448999997, 1099458.2983], [486249.7237, 1099455.2328999992], [486253.92069999967, 1099456.4300999995], [486256.6403000001, 1099448.9419]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,23,NO CATÓLICA,TEMPLO BUDISTA LA LUZ DE BUDA COSTA RICA,TEMPLO BUDISTA LA LUZ DE BUDA CR,9,PRIVADO,"{'rings': [[[486497.7767000003, 1100601.4212999996], [486497.16139999963, 1100603.1998999994], [486495.5208999999, 1100602.8298000004], [486496.1687000003, 1100600.9034000002], [486491.06149999984, 1100599.2586000003], [486490.40940000024, 1100601.1791999992], [486486.6298000002, 1100599.8991], [486483.551, 1100610.0426000003], [486489.6584999999, 1100612.034], [486491.25960000046, 1100607.0810000002], [486501.0625, 1100610.0719000008], [486499.5179000003, 1100615.2487000003], [486511.1349999998, 1100619.0364999995], [486514.9829000002, 1100606.9625000004], [486497.7767000003, 1100601.4212999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,24,CATÓLICA,IGLESIA DEL NAZARENO,IGLESIA DEL NAZARENO,9,ESTADO,"{'rings': [[[485145.1162999999, 1099408.1049000006], [485146.3013000004, 1099419.7387000006], [485153.84949999955, 1099419.0496999994], [485151.8761, 1099399.2511], [485144.9567, 1099400.132099999], [485146.0170999998, 1099408.0244999994], [485145.1162999999, 1099408.1049000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,25,NO CATÓLICA,IGLESIA NO CATÓLICA,IGLESIA NO CATÓLICA,9,PRIVADO,"{'rings': [[[485211.49930000026, 1099752.3693000004], [485211.47869999986, 1099752.1147000007], [485223.3652999997, 1099750.5102999993], [485223.51109999977, 1099749.8539000005], [485236.19990000036, 1099748.3226999994], [485235.1788999997, 1099736.4361000005], [485204.4360999996, 1099740.1667], [485205.7905000001, 1099749.9268999994], [485205.6624999996, 1099749.9518999998], [485206.23330000043, 1099752.8872999996], [485211.49930000026, 1099752.3693000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,26,NO CATÓLICA,CENTRO CRISTIANO DE RESTAURACIÓN DE PAVAS,RESTAURACIÓN,9,PRIVADO,"{'rings': [[[485210.01489999983, 1099151.3402999993], [485213.37770000007, 1099179.8715000004], [485235.72229999956, 1099177.2281], [485234.0535000004, 1099158.8828999996], [485223.4687000001, 1099159.8128999993], [485223.88889999967, 1099164.5043000001], [485218.9275000002, 1099164.8943000007], [485218.8273, 1099164.1741000004], [485219.62770000007, 1099164.1041], [485218.24729999993, 1099150.5701000001], [485210.01489999983, 1099151.3402999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,27,CATÓLICA,IGLESIA SANTA BÁRBARA DE PAVAS,IGLESIA STA. BÁRBARA,9,ESTADO,"{'rings': [[[485382.77469999995, 1099224.9777000006], [485360.52749999985, 1099227.4065000005], [485363.0270999996, 1099248.7590999994], [485385.0751, 1099245.9715], [485382.77469999995, 1099224.9777000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,28,CATÓLICA,IGLESIA SANTA BÁRBARA DE PAVAS - CAPILLA DE VELACIÓN,IGLESIA STA. BÁRBARA ,9,ESTADO,"{'rings': [[[485340.21329999994, 1099186.7986999992], [485339.8662999999, 1099183.6912999991], [485334.02469999995, 1099184.3715000004], [485333.9247000003, 1099183.5413000006], [485296.3334999997, 1099187.5220999997], [485300.22449999955, 1099218.4212999996], [485337.8054999998, 1099214.6205000002], [485334.7094999999, 1099188.6367000006], [485340.30649999995, 1099188.0525000002], [485340.18649999984, 1099186.8023000006], [485340.21329999994, 1099186.7986999992]], [[485321.96470000036, 1099185.3578999992], [485322.7679000003, 1099185.2917], [485323.7215, 1099193.3940999992], [485322.82129999995, 1099193.3641], [485321.96470000036, 1099185.3578999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,29,CATÓLICA,IGLESIA SANTA BÁRBARA DE PAVAS - CASA CURAL,IGLESIA STA. BÁRBARA ,9,ESTADO,"{'rings': [[[485356.6665000003, 1099194.6418999992], [485362.81010000035, 1099193.8172999993], [485361.7625000002, 1099184.1614999995], [485364.42250000034, 1099183.9691000003], [485363.9205, 1099177.0525000002], [485341.2185000004, 1099179.4821000006], [485341.3322999999, 1099180.6585000008], [485339.5471000001, 1099180.7830999997], [485339.8662999999, 1099183.6912999991], [485340.21329999994, 1099186.7986999992], [485340.2150999997, 1099186.8959], [485341.92090000026, 1099186.7455000002], [485342.8208999997, 1099196.0518999994], [485356.6665000003, 1099194.6418999992]], [[485350.25650000013, 1099188.1037000008], [485350.00009999983, 1099185.9882999994], [485353.8781000003, 1099185.5075000003], [485354.0705000004, 1099187.6548999995], [485350.25650000013, 1099188.1037000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,30,CATÓLICA,IGLESIA SANTA BÁRBARA DE PAVAS,IGLESIA STA. BÁRBARA,9,ESTADO,"{'rings': [[[485380.9902999997, 1099208.6920999996], [485379.1662999997, 1099192.0457000006], [485362.81010000035, 1099193.8172999993], [485356.6665000003, 1099194.6418999992], [485358.13210000005, 1099207.5198999997], [485354.9316999996, 1099207.7717000004], [485355.27329999954, 1099211.6734999996], [485380.9902999997, 1099208.6920999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
