,OBJECTID,ACT_COMPL,OBSERVAC_U,NIVEL_EDUC,NOMBRE_CEN,SECUND_TIP,ABREVIADO,MATRICULA_2016,PROPIETARIO,ID_DISTRITO,SHAPE
255,259, LABORATORIOS,AULA DIDÁCTICA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485696.6659000004, 1101781.5673999991], [485735.09669999965, 1101761.3927999996], [485738.3742000004, 1101759.6658999994], [485726.68620000035, 1101739.3457999993], [485730.8534000004, 1101737.0439999998], [485727.31460000016, 1101730.1911999993], [485722.92420000024, 1101722.5607999992], [485719.53220000025, 1101724.445699999], [485725.71719999984, 1101735.3312999997], [485722.1453, 1101737.3950999994], [485721.11870000046, 1101735.7618000004], [485723.4252000004, 1101734.5569000002], [485719.05960000027, 1101725.9579000007], [485674.4924999997, 1101749.6925000008], [485679.1074000001, 1101757.7080000006], [485681.19689999986, 1101756.6164999995], [485682.2196000004, 1101758.4295000006], [485678.6476999996, 1101760.413899999], [485671.75380000006, 1101748.5062000006], [485668.7796, 1101750.2119999994], [485677.17650000006, 1101765.3805999998], [485681.6738999998, 1101763.1318999995], [485691.4634999996, 1101779.866800001], [485693.38829999976, 1101783.2799999993], [485696.6659000004, 1101781.5673999991]], [[485694.7609000001, 1101778.2732999995], [485684.8389999997, 1101761.3663999997], [485693.0939999996, 1101756.8420000002], [485694.02329999954, 1101758.7006], [485698.98029999994, 1101756.104699999], [485697.9358999999, 1101754.3814000003], [485710.4771999996, 1101747.7931999993], [485711.38489999995, 1101749.6086999997], [485716.2838000003, 1101747.0430999994], [485715.31900000013, 1101745.173800001], [485723.41530000046, 1101740.9670000002], [485733.2577999998, 1101758.0326000005], [485694.7609000001, 1101778.2732999995]], [[485698.8481999999, 1101747.3956000004], [485699.8409000002, 1101749.0632000007], [485687.29959999956, 1101755.8101000004], [485686.18200000003, 1101754.0122999996], [485698.8481999999, 1101747.3956000004]], [[485717.14470000006, 1101740.1732], [485704.6827999996, 1101746.4438000005], [485703.7430999996, 1101744.8386000004], [485716.20100000035, 1101738.3307000007], [485717.14470000006, 1101740.1732]], [[485727.5263, 1101751.6225000005], [485723.0284000002, 1101743.5527], [485687.8742000004, 1101761.9624000005], [485692.6012000004, 1101770.0110999998], [485727.5263, 1101751.6225000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
256,260, LABORATORIOS,AULA DIDÁCTICA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485708.6122000003, 1101803.819599999], [485713.5066999998, 1101801.265900001], [485712.67650000006, 1101799.5518999994], [485725.0987, 1101793.1225000005], [485726.0088999998, 1101794.7430000007], [485730.43649999984, 1101792.4330000002], [485730.97530000005, 1101792.1519000009], [485730.0993999997, 1101790.4236999992], [485742.5613000002, 1101783.7562000006], [485743.49349999987, 1101785.6206999999], [485748.34109999985, 1101783.0914999992], [485747.52219999954, 1101781.2558999993], [485750.0621999996, 1101779.9858999997], [485738.3742000004, 1101759.6658999994], [485735.09669999965, 1101761.3927999996], [485744.7539999997, 1101778.2600999996], [485736.94880000036, 1101782.3610999994], [485735.76460000034, 1101780.6695000008], [485742.2106999997, 1101777.2872000001], [485737.84499999974, 1101769.2172999997], [485702.9632000001, 1101787.859099999], [485707.41789999977, 1101795.5434000008], [485713.40139999986, 1101792.4037999995], [485714.4590999996, 1101794.2674000002], [485706.45550000016, 1101798.5669], [485696.6659000004, 1101781.5673999991], [485693.38829999976, 1101783.2799999993], [485705.05649999995, 1101803.5206000004], [485707.71559999976, 1101802.2109999992], [485708.6122000003, 1101803.819599999]], [[485727.0610999996, 1101785.2364000008], [485730.93819999974, 1101783.2019999996], [485731.98780000024, 1101785.0731000006], [485728.15139999986, 1101787.1897999998], [485727.0610999996, 1101785.2364000008]], [[485718.26669999957, 1101789.8509], [485722.1730000004, 1101787.8012000006], [485723.19039999973, 1101789.7032999992], [485719.28780000005, 1101791.7537999991], [485718.26669999957, 1101789.8509]], [[485755.7045, 1101789.7226], [485751.6882999996, 1101781.3866000008], [485748.4205, 1101783.0914999992], [485743.5729, 1101785.6206999999], [485731.0546000004, 1101792.1519000009], [485730.5159, 1101792.4330000002], [485726.08829999994, 1101794.7430000007], [485713.58609999996, 1101801.265900001], [485708.6914999997, 1101803.819599999], [485706.47339999955, 1101804.9769000001], [485710.98979999963, 1101813.0059999991], [485755.7045, 1101789.7226]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
257,261, ,NÚCLEO SECTOR ELÉCTRICO,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485792.40579999983, 1101761.7125000004], [485784.3360000001, 1101747.9541999996], [485769.89580000006, 1101755.5799000002], [485767.5349000003, 1101750.9968999997], [485758.14219999965, 1101755.8916999996], [485760.7879999997, 1101760.3895999994], [485762.3761999998, 1101759.5508999992], [485770.04839999974, 1101772.825099999], [485792.40579999983, 1101761.7125000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
258,262, ,NÚCLEO INDUSTRIA GRÁFICA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485767.00569999963, 1101734.5927000009], [485763.19010000024, 1101725.7956000008], [485773.75260000024, 1101720.3051999994], [485762.77240000013, 1101700.7259999998], [485736.0493999999, 1101714.352], [485747.1891000001, 1101734.1129], [485756.3037999999, 1101729.3750999998], [485760.39109999966, 1101737.9000000004], [485767.00569999963, 1101734.5927000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
259,263, BODEGA,PARQUEO PRIVADO,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485726.3652999997, 1101710.4359000009], [485729.9453999996, 1101716.7802000009], [485756.6869000001, 1101702.3135000002], [485753.7764999997, 1101696.0956999995], [485726.3652999997, 1101710.4359000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
260,264, ,PARQUEO PRIVADO,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485740.15050000045, 1101697.1541000009], [485733.9326999998, 1101685.6447], [485722.05150000006, 1101691.6418999992], [485728.64109999966, 1101703.2394999992], [485740.15050000045, 1101697.1541000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
261,265, PARQUEO PRIVADO,OFICINAS ADMINISTRATIVAS Y DE SERVICIOS VARIOS,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485751.26970000006, 1101676.8905999996], [485747.65529999975, 1101677.9596999995], [485739.2243999997, 1101682.9988000002], [485745.9713000003, 1101694.2436999995], [485758.6712999996, 1101687.4967999998], [485758.3537999997, 1101686.570699999], [485760.1001000004, 1101685.7770000007], [485759.4650999997, 1101678.0776000004], [485751.76570000034, 1101677.8395000007], [485751.26970000006, 1101676.8905999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
262,266, ,PARQUEO PRIVADO,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485785.63239999954, 1101697.1275999993], [485783.87650000025, 1101676.7314999998], [485783.96549999993, 1101676.7281999998], [485783.48929999955, 1101670.695699999], [485772.9051999999, 1101670.5536000002], [485766.26829999965, 1101672.5166999996], [485766.7411000002, 1101677.3631999996], [485773.4614000004, 1101677.1153999995], [485774.9961000001, 1101697.6039000005], [485785.63239999954, 1101697.1275999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
263,267, COOPERATIVA,CASONA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485839.82579999976, 1101700.2784000002], [485837.4115000004, 1101686.1561999992], [485833.6412000004, 1101686.6853999998], [485833.5088999998, 1101685.8585], [485823.2561999997, 1101687.5121999998], [485826.2659, 1101703.3211000003], [485824.51300000027, 1101703.6517999992], [485826.06269999966, 1101711.5903999992], [485838.4698000001, 1101709.6380000003], [485836.78309999965, 1101701.1382999998], [485838.0399000002, 1101700.9397999998], [485837.90759999957, 1101700.3444999997], [485839.82579999976, 1101700.2784000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
264,268, AREA DE JUEGOS INFANTILES,GUARDERÍA INFANTIL,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[485908.75650000013, 1101643.8491999991], [485905.7138, 1101628.0404000003], [485893.54289999977, 1101630.2232000008], [485894.07210000046, 1101633.9274000004], [485881.15720000025, 1101636.1997999996], [485880.1596999997, 1101632.0102999993], [485879.13489999995, 1101632.5176999997], [485877.6122000003, 1101633.1688], [485878.51329999976, 1101636.664999999], [485863.08800000045, 1101639.3792000003], [485857.6359000001, 1101641.7104000002], [485852.6381000001, 1101643.6142999995], [485855.3766999999, 1101655.3586], [485897.18099999987, 1101647.4211], [485896.9824999999, 1101646.296599999], [485908.75650000013, 1101643.8491999991]], [[485889.5741999997, 1101631.8768000007], [485887.98670000024, 1101629.0326000005], [485885.52300000004, 1101630.3715000004], [485887.12679999974, 1101633.1336000003], [485889.5741999997, 1101631.8768000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
265,269, ,BIBLIOTECA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[486028.37490000017, 1101671.1675000004], [486039.6196999997, 1101665.2144000009], [486042.08550000004, 1101669.9316000007], [486050.8797000004, 1101665.008199999], [486048.48330000043, 1101660.319599999], [486073.88329999987, 1101646.9581000004], [486070.76630000025, 1101641.2741], [486071.2904000003, 1101640.9916999992], [486062.42679999955, 1101624.3230000008], [486007.43599999975, 1101653.9838999994], [486009.5582999997, 1101657.8401999995], [486016.5214999998, 1101670.4927999992], [486016.90139999986, 1101670.2882000003], [486022.4506000001, 1101680.9242000002], [486030.93230000045, 1101676.1756999996], [486028.37490000017, 1101671.1675000004]], [[486077.8256000001, 1101626.5653000008], [486073.8569, 1101620.0830000006], [486068.8298000004, 1101623.0595999993], [486072.6127000004, 1101629.6166999992], [486077.8256000001, 1101626.5653000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
266,270, ,BODEGA,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[486158.7750000004, 1101558.9508999996], [486156.31439999957, 1101554.1089999992], [486151.63129999954, 1101556.6490000002], [486154.1986999996, 1101561.3083999995], [486158.7750000004, 1101558.9508999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
267,271, CASETA DE VIGILANCIA,OFICINAS ADMINISTRATIVAS Y DE SERVICIOS VARIOS,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[486112.7707000002, 1101583.829500001], [486106.3970999997, 1101572.6242999993], [486103.8729999997, 1101573.9342], [486103.0889999997, 1101572.5901999995], [486105.61149999965, 1101571.2432000004], [486104.28249999974, 1101568.9067000002], [486101.2898000004, 1101570.3411999997], [486092.01410000026, 1101553.5018000007], [486091.8530000001, 1101553.896400001], [486089.10759999976, 1101555.4306000005], [486091.0239000004, 1101558.7788999993], [486091.36789999995, 1101558.6202000007], [486093.8814000003, 1101563.4090999998], [486094.17250000034, 1101563.3298000004], [486098.85560000036, 1101571.6906000003], [486096.29310000036, 1101573.1096], [486095.8510999996, 1101572.2720999997], [486089.6161000002, 1101562.1794000007], [486087.6305999998, 1101563.1721], [486085.64410000015, 1101559.6785000004], [486072.2297, 1101566.8223], [486074.4522000002, 1101571.1085], [486073.1821999997, 1101571.822899999], [486078.8579000002, 1101581.5211999994], [486081.0530000003, 1101580.3286000006], [486081.34190000035, 1101581.0991999991], [486076.3147999998, 1101583.6656999998], [486078.29030000046, 1101587.2323000003], [486078.5103000002, 1101587.5932999998], [486085.96160000004, 1101600.106899999], [486091.12090000045, 1101597.1964999996], [486090.50270000007, 1101596.1204000004], [486102.3657999998, 1101589.5897000004], [486112.7707000002, 1101583.829500001]], [[486085.15020000003, 1101582.2475000005], [486092.34690000024, 1101578.3581000008], [486093.0310000004, 1101579.6808000002], [486085.95519999973, 1101583.6512000002], [486085.15020000003, 1101582.2475000005]], [[486094.70160000026, 1101577.1410000008], [486100.81350000016, 1101573.9396000002], [486101.47559999954, 1101575.1783000007], [486095.88350000046, 1101578.0802999996], [486095.4084999999, 1101578.3467999995], [486094.70160000026, 1101577.1410000008]], [[486089.8086000001, 1101576.5483999997], [486084.56989999954, 1101579.2470999993], [486084.1640999997, 1101578.6384999994], [486089.4726999998, 1101575.7544], [486089.8086000001, 1101576.5483999997]], [[486094.6752000004, 1101573.966], [486091.60780000035, 1101575.4900000002], [486091.17650000006, 1101574.8288000003], [486094.23220000044, 1101573.1687000003], [486094.6752000004, 1101573.966]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
268,272, ,OFICINAS ADMINISTRATIVAS Y DE SERVICIOS VARIOS,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,7,"{'rings': [[[486028.5733000003, 1101629.1317999996], [486058.3125, 1101613.0714999996], [486060.5979000004, 1101616.7073], [486065.78699999955, 1101613.732999999], [486063.8026999999, 1101609.8965000007], [486084.99450000003, 1101598.4827999994], [486078.5103000002, 1101587.5932999998], [486078.29030000046, 1101587.2323000003], [486076.3147999998, 1101583.6656999998], [486071.2877000002, 1101586.2321000006], [486070.7542000003, 1101585.3651], [486075.64279999956, 1101582.6973], [486069.8901000004, 1101572.8355999999], [486013.09520000033, 1101604.7635999992], [486018.2105999999, 1101613.7544], [486013.79140000045, 1101615.3370999992], [486014.9820999997, 1101618.4063000008], [486022.5630000001, 1101615.6405999996], [486014.9820999997, 1101619.9144000001], [486015.69820000045, 1101621.0940000005], [486015.63520000037, 1101621.1281000003], [486023.41390000004, 1101634.5293000005], [486029.68460000027, 1101631.3542999998], [486028.5733000003, 1101629.1317999996]], [[486026.7829999998, 1101613.4155000001], [486037.4985999996, 1101607.8062999994], [486038.1634999998, 1101608.9405000005], [486027.42200000025, 1101614.7515999991], [486026.7829999998, 1101613.4155000001]], [[486039.87990000006, 1101606.5362999998], [486050.4632000001, 1101600.7419000007], [486051.19689999986, 1101601.8894999996], [486040.49069999997, 1101607.6815000009], [486039.87990000006, 1101606.5362999998]], [[486033.24060000014, 1101606.8168000001], [486025.3559999997, 1101611.1558999997], [486024.87210000027, 1101610.4032000005], [486032.8378999997, 1101606.0561999995], [486033.24060000014, 1101606.8168000001]], [[486065.87150000036, 1101593.9507], [486065.27990000043, 1101592.6721], [486070.14829999954, 1101590.1055999994], [486070.7785, 1101591.2961], [486065.87150000036, 1101593.9507]], [[486052.79580000043, 1101601.0245999992], [486052.1830000002, 1101599.7630000003], [486057.13069999963, 1101597.2229999993], [486057.78479999956, 1101598.3255000003], [486052.79580000043, 1101601.0245999992]], [[486062.1331000002, 1101591.1534000002], [486056.0477, 1101594.5930000003], [486055.4665999999, 1101593.7075999994], [486061.6338999998, 1101590.3421], [486062.1331000002, 1101591.1534000002]], [[486042.5538999997, 1101601.8425999992], [486035.8864000002, 1101605.3880000003], [486035.46470000036, 1101604.6227000002], [486042.02190000005, 1101601.0445000008], [486042.5538999997, 1101601.8425999992]], [[486060.3038999997, 1101596.9627], [486059.6442999998, 1101595.7941999994], [486063.2955, 1101593.8098000009], [486063.84860000014, 1101595.0450999998], [486060.3038999997, 1101596.9627]], [[486073.40940000024, 1101589.8728], [486072.7675999999, 1101588.6239999998], [486076.04849999957, 1101586.8247999996], [486076.6860999996, 1101588.1000999995], [486073.40940000024, 1101589.8728]], [[486068.64190000016, 1101587.6609000005], [486064.67310000025, 1101589.8304999992], [486064.12909999955, 1101588.9803999998], [486068.1808000002, 1101586.7694000006], [486068.64190000016, 1101587.6609000005]], [[486049.0098000001, 1101598.3500999995], [486045.0410000002, 1101600.5197], [486044.5195000004, 1101599.6815000009], [486048.57830000017, 1101597.4666000009], [486049.0098000001, 1101598.3500999995]], [[486053.50769999996, 1101595.863], [486051.81439999957, 1101596.762599999], [486051.38100000005, 1101595.9371000007], [486053.04250000045, 1101595.0304000005], [486053.50769999996, 1101595.863]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
269,273, ,OFICINA DE INSPECCIÓN Y COBROS,PREESCOLAR,JARDÍN INFANTIL DEL INSTITUTO NACIONAL DE APRENDIZAJE,ACADÉMICO,J.N. INA,MATRICULA,ESTADO,7,"{'rings': [[[486393.20380000025, 1101469.0369000006], [486383.16280000005, 1101452.1697000004], [486376.8128000004, 1101455.6622000001], [486378.71779999975, 1101458.9166], [486376.9319000002, 1101459.7500999998], [486375.9000000004, 1101457.8847000003], [486358.35809999984, 1101467.3701000009], [486360.0250000004, 1101470.3862999994], [486342.5767999999, 1101480.1455000006], [486351.80709999986, 1101496.5062000006], [486359.86950000003, 1101492.2806000002], [486359.3404000001, 1101491.2223000005], [486375.14919999987, 1101482.821799999], [486374.5903000003, 1101481.7369999997], [486378.1224999996, 1101479.7128999997], [486377.09059999976, 1101477.8476], [486393.20380000025, 1101469.0369000006]], [[486345.76719999965, 1101465.5841000006], [486351.8965999996, 1101462.3717], [486352.2363, 1101462.9647000004], [486357.31630000006, 1101460.5834999997], [486355.2128999997, 1101456.4956999999], [486349.95019999985, 1101458.9737999998], [486349.89470000006, 1101458.8769000005], [486343.6638000002, 1101462.0121999998], [486345.76719999965, 1101465.5841000006]], [[486344.13999999966, 1101465.742900001], [486342.4201999996, 1101462.5017000008], [486336.34810000006, 1101464.9207000006], [486337.92229999974, 1101468.1903000008], [486344.13999999966, 1101465.742900001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
270,274, , ,PRIMARIA,ESCUELA OTTO HUBBE,ACADÉMICO,ESCUELA OTTO HUBBE,MATRICULA,ESTADO,7,"{'rings': [[[486785.5055999998, 1101256.0492000002], [486787.21219999995, 1101242.1586000007], [486769.7479999997, 1101240.3511999995], [486769.80090000015, 1101239.6897], [486769.36429999955, 1101239.6500000004], [486769.36840000004, 1101239.6171000004], [486771.5917999996, 1101221.9121000003], [486757.73419999983, 1101220.7876999993], [486755.5844999999, 1101238.8785999995], [486764.83860000037, 1101239.3743999992], [486765.42370000016, 1101239.9361000005], [486760.7405000003, 1101243.3491999991], [486761.6534000002, 1101244.7780000009], [486760.70079999976, 1101251.8027], [486762.28839999996, 1101252.2391999997], [486762.0899, 1101253.5886000004], [486767.76520000026, 1101254.144200001], [486767.8446000004, 1101253.6679999996], [486770.4639999997, 1101253.9060999993], [486770.4243000001, 1101254.4616999999], [486785.5055999998, 1101256.0492000002]], [[486820.1528000003, 1101236.2672000006], [486813.8027999997, 1101223.9639999997], [486802.9952999996, 1101230.1294], [486801.8532999996, 1101227.9975000005], [486797.13150000013, 1101230.6641000006], [486798.3080000002, 1101232.8034000006], [486794.8184000002, 1101234.7940999996], [486801.23510000017, 1101246.6521000005], [486820.1528000003, 1101236.2672000006]], [[486827.24870000035, 1101213.6554000005], [486825.9737, 1101211.197899999], [486813.41610000003, 1101218.3552], [486814.7207000004, 1101220.7305999994], [486821.87260000035, 1101233.7535999995], [486834.1758000003, 1101227.0067999996], [486827.24870000035, 1101213.6554000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
271,275, , ,PRIMARIA,ESCUELA OTTO HUBBE,ACADÉMICO,ESCUELA OTTO HUBBE,MATRICULA,ESTADO,7,"{'rings': [[[486819.56909999996, 1101194.0688000005], [486815.2695000004, 1101184.9032000005], [486788.7997000003, 1101205.5755000003], [486795.28199999966, 1101213.446799999], [486819.56909999996, 1101194.0688000005]], [[486792.43769999966, 1101218.4078000002], [486784.56630000006, 1101208.1552000009], [486778.8431000002, 1101212.6004000008], [486786.55069999956, 1101222.5749999993], [486792.43769999966, 1101218.4078000002]], [[486799.25069999974, 1101222.0458000004], [486795.8772999998, 1101217.3494000006], [486790.0482000001, 1101221.735200001], [486793.5621999996, 1101226.2791000009], [486799.25069999974, 1101222.0458000004]], [[486801.8965999996, 1101216.7541000005], [486798.4570000004, 1101211.8593000006], [486795.53029999975, 1101214.1251999997], [486799.11840000004, 1101218.738500001], [486801.8965999996, 1101216.7541000005]], [[486801.8532999996, 1101227.9975000005], [486800.5075000003, 1101225.4854000006], [486795.8110999996, 1101228.2634999994], [486797.13150000013, 1101230.6641000006], [486801.8532999996, 1101227.9975000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
272,276, , ,PRIMARIA,ESCUELA BRISAS DEL VIRILLA,ACADÉMICO,ESC. BRISAS DEL VIRILLA,MATRICULA,ESTADO,7,"{'rings': [[[486036.93369999994, 1101836.7484000009], [486038.5872999998, 1101835.8223], [486039.31489999965, 1101837.2114000004], [486041.0346999997, 1101836.0868999995], [486035.8092, 1101827.4218000006], [486041.7622999996, 1101824.7097999994], [486044.5405000001, 1101828.1493999995], [486042.02689999994, 1101829.7369], [486045.1358000003, 1101833.9702000003], [486055.3883999996, 1101826.5618999992], [486055.65299999993, 1101826.9146999996], [486065.3897000002, 1101818.6596000008], [486072.4804999996, 1101813.8970999997], [486076.39630000014, 1101793.3763999995], [486076.1826999998, 1101787.2087999992], [486054.3962000003, 1101807.3795999996], [486055.85140000004, 1101808.9671], [486040.04250000045, 1101821.5348000005], [486029.39300000016, 1101826.3633999992], [486028.20239999983, 1101824.1806000005], [486022.64609999955, 1101826.9587999992], [486022.1831, 1101825.9666000009], [486018.6945000002, 1101827.986300001], [486027.1769000003, 1101843.2555], [486037.1983000003, 1101837.5420999993], [486036.93369999994, 1101836.7484000009]], [[486009.2111999998, 1101852.5956999995], [486014.9659000002, 1101849.6852000002], [486015.2304999996, 1101850.0821000002], [486026.90500000026, 1101843.4262000006], [486018.42260000017, 1101828.1569999997], [486014.3706, 1101830.5029000007], [486014.63520000037, 1101831.1644000001], [486004.1179999998, 1101836.3899000008], [486005.83779999986, 1101839.829500001], [486002.2659, 1101842.0122999996], [486004.1841000002, 1101844.7243000008], [486004.5148, 1101844.5259000007], [486009.2111999998, 1101852.5956999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
273,277, , ,PRIMARIA,ESCUELA LA PEREGRINA,ACADÉMICO,ESC. LA PEREGRINA,MATRICULA,ESTADO,7,"{'rings': [[[488953.76829999965, 1100880.7112000007], [488962.1875, 1100884.8625000007], [488968.13549999986, 1100872.1228999998], [488966.0979000004, 1100871.1861000005], [488969.00829999987, 1100864.7303], [488945.2570000002, 1100859.4253000002], [488944.5608000001, 1100861.3435999993], [488940.9625000004, 1100859.7561000008], [488935.24739999976, 1100872.0328000002], [488953.76829999965, 1100880.7112000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
274,278, , ,SECUNDARIA,LICEO JULIO FONSECA GUTIÉRREZ,ACADÉMICO,LICEO JULIO FONSECA G.,MATRICULA,ESTADO,7,"{'rings': [[[489040.04619999975, 1100872.3530000001], [489041.89829999954, 1100858.4888000004], [489045.39080000017, 1100860.1292000003], [489047.3487999998, 1100856.1603999995], [489058.5628000004, 1100861.6481999997], [489064.7583999997, 1100864.6799999997], [489061.9475999996, 1100869.0810000002], [489065.6001000004, 1100870.9630999994], [489076.31429999974, 1100854.3301], [489066.1342000002, 1100848.9108000007], [489060.4809999997, 1100858.4211999997], [489057.2971000001, 1100856.5837999992], [489067.1924999999, 1100838.0628999993], [489055.4450000003, 1100831.4483000003], [489055.9212999996, 1100830.8662], [489047.29580000043, 1100829.3845000006], [488985.8065999998, 1100818.9598999992], [488983.21360000037, 1100832.9299999997], [488986.6531999996, 1100833.5649999995], [488984.11319999956, 1100849.3342000004], [488978.3770000003, 1100848.3498999998], [488977.55150000006, 1100853.3028999995], [488975.27610000037, 1100853.0912999995], [488974.0203999998, 1100861.3014000002], [488979.1919999998, 1100862.1400000006], [488979.2449000003, 1100862.5634000003], [489040.04619999975, 1100872.3530000001]], [[489037.1358000003, 1100841.9257999994], [489034.54289999977, 1100857.3774999995], [488989.3811999997, 1100849.9191999994], [488991.892, 1100834.4115999993], [489037.1358000003, 1100841.9257999994]], [[489039.72869999986, 1100858.1712999996], [489042.08719999995, 1100842.8110000007], [489048.2483000001, 1100843.8308000006], [489040.6283, 1100858.2241999991], [489039.72869999986, 1100858.1712999996]], [[488954.28720000014, 1100810.043299999], [488925.11340000015, 1100804.5238000005], [488918.5889999997, 1100839.1345000006], [488948.59279999975, 1100844.0557000004], [488954.28720000014, 1100810.043299999]], [[488981.2324999999, 1100818.6731000002], [488956.31900000013, 1100814.6192000005], [488953.9902999997, 1100827.8631999996], [488978.99349999987, 1100832.0701000001], [488981.2324999999, 1100818.6731000002]], [[488896.25879999995, 1100826.167199999], [488884.6336000003, 1100824.1100999992], [488881.2444000002, 1100844.3289], [488892.96800000034, 1100846.3351000007], [488896.25879999995, 1100826.167199999]], [[488923.5423999997, 1100804.2266000006], [488911.55979999993, 1100801.9595999997], [488908.90529999975, 1100816.115700001], [488920.97030000016, 1100818.5763000008], [488923.5423999997, 1100804.2266000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
275,279, , ,PRIMARIA,ESCUELA LA PEREGRINA,ACADÉMICO,ESC. LA PEREGRINA,MATRICULA,ESTADO,7,"{'rings': [[[488942.44409999996, 1100915.2128999997], [488939.3219999997, 1100913.6783000007], [488938.36950000003, 1100915.7421000004], [488924.7698999997, 1100909.5507999994], [488923.1824000003, 1100912.6199999992], [488916.7603000002, 1100909.6809999999], [488913.7444000002, 1100916.2961], [488934.08330000006, 1100925.5845999997], [488933.5541000003, 1100926.9604000002], [488932.7604, 1100926.6428999994], [488931.43740000017, 1100929.6591999996], [488935.3532999996, 1100931.4583], [488936.7291000001, 1100928.6008000001], [488936.1469999999, 1100928.2303999998], [488942.44409999996, 1100915.2128999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
276,280, , ,PRIMARIA,ESCUELA LA PEREGRINA,ACADÉMICO,ESC. LA PEREGRINA,MATRICULA,ESTADO,7,"{'rings': [[[488955.22140000015, 1100899.7828000002], [488946.71949999966, 1100896.0885000005], [488946.36000000034, 1100897.0624000002], [488944.6666000001, 1100900.8194999993], [488926.3044999996, 1100892.299900001], [488920.32490000036, 1100904.7883000001], [488939.3219999997, 1100913.6783000007], [488942.44409999996, 1100915.2128999997], [488947.01350000035, 1100917.3629], [488955.22140000015, 1100899.7828000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
277,281, , ,PRIMARIA,ESCUELA LA PEREGRINA,ACADÉMICO,ESC. LA PEREGRINA,MATRICULA,ESTADO,7,"{'rings': [[[488962.1875, 1100884.8625000007], [488953.76829999965, 1100880.7112000007], [488952.0220999997, 1100884.4682999998], [488933.7128999997, 1100875.8957000002], [488927.7862, 1100888.3312], [488946.36000000034, 1100897.0624000002], [488946.71949999966, 1100896.0885000005], [488955.22140000015, 1100899.7828000002], [488962.1875, 1100884.8625000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
