,OBJECTID,ID_DISTRITO,CATEGORIA,NOMBRE,ABREVIADO,SHAPE
20,21,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES PALMARES - NARANJO,TERMINAL DE AUTOBUSES PALMARES - NARANJO,"{'rings': [[[490226.4819, 1099130.6709000003], [490227.87689999957, 1099121.6359], [490225.2969000004, 1099120.5658999998], [490226.15780000016, 1099117.6962000001], [490225.3569, 1099117.4559000004], [490224.4769000001, 1099113.1558999997], [490220.6699999999, 1099113.3653999995], [490220.7468999997, 1099114.7609], [490220.4890999999, 1099120.9294000007], [490216.8169, 1099120.7759000007], [490216.6369000003, 1099123.4258999992], [490218.3169, 1099123.8059], [490217.7269000001, 1099129.9608999994], [490217.5175999999, 1099131.2583000008], [490225.9968999997, 1099132.6259000003], [490226.4819, 1099130.6709000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,22,2,GUARDERÍA INFANTIL,GUARDERÍA MANITAS CREATIVAS,GUARDERÍA MANITAS CREATIVAS,"{'rings': [[[490538.6266999999, 1099309.0559], [490537.52689999994, 1099295.0758999996], [490533.5469000004, 1099295.5259000007], [490533.5069000004, 1099293.7458999995], [490528.4868999999, 1099294.2959000003], [490529.6069, 1099304.8158999998], [490528.6769000003, 1099304.9158999994], [490529.34690000024, 1099313.0259000007], [490529.7868999997, 1099318.3458999991], [490529.9921000004, 1099320.1808000002], [490532.9868999999, 1099319.8458999991], [490532.13320000004, 1099311.6240999997], [490538.7720999997, 1099310.9064000007], [490538.6266999999, 1099309.0559]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,23,2,BIBLIOTECA,BIBLIOTECA MUNICIPAL RAFAEL ÁNGEL CALDERÓN GUARDIA,BIBLIOTECA MUNICIPAL RAFAEL ÁNGEL CALDERÓN GUARDIA,"{'rings': [[[490612.8869000003, 1099346.4359000009], [490613.0368999997, 1099347.8959], [490624.20689999964, 1099346.7059000004], [490622.3766999999, 1099329.5440999996], [490611.57689999975, 1099330.6959000006], [490610.70689999964, 1099322.5459000003], [490608.67169999983, 1099322.7564000003], [490608.4506999999, 1099320.6197999995], [490594.8668999998, 1099321.9258999992], [490597.6568999998, 1099348.0658999998], [490612.8869000003, 1099346.4359000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,24,2,SALÓN COMUNAL,SALÓN IGLESIAS FLORES,SALÓN IGLESIAS FLORES,"{'rings': [[[490809.31680000015, 1099612.1048000008], [490808.89690000005, 1099596.3859], [490803.9502999997, 1099596.5650999993], [490804.01690000016, 1099598.4958999995], [490804.6568999998, 1099612.9158999994], [490809.31680000015, 1099612.1048000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,25,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES PULMITAN DE LIBERIA,TERMINAL DE AUTOBUSES PULMITAN DE LIBERIA,"{'rings': [[[490228.5854000002, 1099061.4806999993], [490252.44489999954, 1099047.8991999999], [490244.6984000001, 1099034.2982], [490221.2915000003, 1099049.0024999995], [490226.8169, 1099062.4858999997], [490228.5854000002, 1099061.4806999993]], [[490264.87689999957, 1099030.2458999995], [490268.9868999999, 1099037.6658999994], [490282.2368999999, 1099030.3059], [490278.2207000004, 1099023.0708000008], [490287.36620000005, 1099017.9941000007], [490283.1266999999, 1099010.1572999991], [490252.9868999999, 1099029.0912999995], [490254.2468999997, 1099031.4258999992], [490258.5376000004, 1099029.1054999996], [490260.44689999986, 1099032.6359], [490264.87689999957, 1099030.2458999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,26,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES PULMITAN DE LIBERIA,TERMINAL DE AUTOBUSES PULMITAN DE LIBERIA,"{'rings': [[[490283.1266999999, 1099010.1572999991], [490282.01690000016, 1099008.1059000008], [490279.00040000025, 1099002.644200001], [490269.7269000001, 1099007.765900001], [490266.45689999964, 1099001.8759000003], [490253.19209999964, 1099009.1166999992], [490256.46690000035, 1099015.1159000006], [490253.9068999998, 1099016.5058999993], [490253.26690000016, 1099019.0758999996], [490255.28610000014, 1099022.8144000005], [490250.8828999996, 1099025.1926000006], [490252.9868999999, 1099029.0912999995], [490283.1266999999, 1099010.1572999991]], [[490244.6984000001, 1099034.2982], [490242.3996000001, 1099030.262], [490244.09190000035, 1099029.3258999996], [490242.62689999957, 1099026.1859000009], [490229.9347000001, 1099033.5974000003], [490218.8192999996, 1099028.8025000002], [490212.93460000027, 1099032.7256000005], [490221.2915000003, 1099049.0024999995], [490244.6984000001, 1099034.2982]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,27,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES TRALAPA,TERMINAL DE AUTOBUSES TRALAPA,"{'rings': [[[490391.8799999999, 1098878.5644000005], [490408.32459999993, 1098876.9420999996], [490406.9972000001, 1098859.538899999], [490403.82629999984, 1098859.9076000005], [490403.7525000004, 1098858.4328000005], [490390.0365000004, 1098859.6127000004], [490391.8799999999, 1098878.5644000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,28,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES CORONADO,TERMINAL DE AUTOBUSES CORONADO,"{'rings': [[[491324.9269000003, 1098872.5658999998], [491327.12689999957, 1098872.0559], [491327.2269000001, 1098873.9858999997], [491349.0069000004, 1098871.9559000004], [491350.0669, 1098871.8559000008], [491355.9269000003, 1098871.3059], [491355.1665000003, 1098861.9954000004], [491327.4413999999, 1098865.1897999998], [491324.6085999999, 1098852.6070000008], [491324.3372999998, 1098852.4296000004], [491315.32689999975, 1098854.3059], [491317.1069, 1098866.1059000008], [491317.3025000002, 1098867.4189], [491318.26690000016, 1098873.8059], [491318.2969000004, 1098874.0958999991], [491321.07689999975, 1098873.4559000004], [491323.33690000046, 1098872.9359000009], [491324.9269000003, 1098872.5658999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,29,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES RV,TERMINAL DE AUTOBUSES RV,"{'rings': [[[490823.6617999999, 1098972.4301999994], [490812.2269000001, 1098969.3158999998], [490811.4769000001, 1098969.1059000008], [490809.20689999964, 1098974.3659000006], [490822.01410000026, 1098978.0425000004], [490823.6617999999, 1098972.4301999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,30,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,"{'rings': [[[490805.3132999996, 1099015.5376999993], [490801.87090000045, 1099029.4794999994], [490804.19689999986, 1099029.9860999994], [490832.34690000024, 1099036.2360999994], [490838.5069000004, 1099037.5958999991], [490839.28170000017, 1099032.0966999996], [490839.3576999996, 1099031.5579000004], [490840.89690000005, 1099020.6061000004], [490841.1168999998, 1099017.4659000002], [490842.1369000003, 1099004.2558999993], [490834.37689999957, 1099004.3059], [490833.6869000001, 1099006.3158999998], [490826.77689999994, 1099004.6259000003], [490800.7681, 1098993.9207000006], [490797.8690999998, 1098999.3816999998], [490819.51049999986, 1099010.0337000005], [490824.6168999998, 1099011.5858999994], [490834.45689999964, 1099016.166099999], [490833.77689999994, 1099021.6558999997], [490807.1568999998, 1099015.9359000009], [490805.3132999996, 1099015.5376999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
