,OBJECTID,CED_JUR_COND,NOMBRE,MATRIZ,NIVELES,CANT_FF,FF_MENOR,FF_MAYOR,LOCALIZACION,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
311,326,0,CONDOMINIO RESIDENCIAL COMBINADO HORIZONTAL Y VERT,00001995 M,2,3,00043012 F,00043014 F,090130 0002 C,,,SDE,2019-01-30 19:15:25,,{7AB5D1FE-820B-4664-A58E-B3A948750B09},324.1216125488281,78.58463216070831,"{'rings': [[[485946.4606999997, 1100111.5143999998], [485944.76499999966, 1100083.9052000009], [485937.7282999996, 1100084.4300999995], [485932.94350000005, 1100084.8999000005], [485933.8837000001, 1100098.5330999997], [485934.8289999999, 1100112.2400000002], [485946.4606999997, 1100111.5143999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
312,327,0,CONDOMINIO HORIZONTAL RESIDENCIAL ZES,00001920 M,2,3,0040832  F,0040834  F,090152 0002KC,,,SDE,2019-01-30 19:15:26,,{4EFA81D4-C491-4310-B92C-F3111BBE8564},321.68194580078125,76.81946232458904,"{'rings': [[[486109.1425999999, 1100821.2717000004], [486106.8501000004, 1100795.5951000005], [486097.5889999997, 1100795.4916999992], [486096.1584000001, 1100795.5991999991], [486095.1704000002, 1100795.6733999997], [486096.2544999998, 1100822.0907000005], [486109.1425999999, 1100821.2717000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
313,328,0,CONDOMINIO RESIDENCIAL HORIZONTAL PASO REAL,00002623 M,2,6,00067861 F,00067866 F,09009610021 C,,,SDE,2019-01-30 19:15:26,,{1AE75D00-05B6-4FA9-A165-26C0A3448A7E},1238.2516479492188,141.39882468696788,"{'rings': [[[486988.9156999998, 1099163.5265999995], [486976.5899, 1099138.2781000007], [486976.2017000001, 1099137.5344999991], [486972.1141999997, 1099129.6448], [486957.59240000043, 1099129.8205999993], [486950.47020000033, 1099168.9623000007], [486955.6776999999, 1099171.8358999994], [486958.17679999955, 1099173.8287000004], [486960.1841000002, 1099175.4294000007], [486963.0215999996, 1099179.4910000004], [486964.05840000045, 1099181.2734999992], [486988.9156999998, 1099163.5265999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
314,329,0,CONDOMINIO SALAMANCA,00000783 M,0,5,00013252 F,00013256 F,090151 0025 C,,,SDE,2019-01-30 19:15:26,,{2DDB29FB-2F65-4B28-8558-5A929365581E},715.2378845214844,108.29740548967575,"{'rings': [[[486183.8295, 1100673.9381000008], [486168.8825000003, 1100656.2939], [486162.72470000014, 1100661.3469999991], [486157.10360000003, 1100665.9617999997], [486153.50710000005, 1100668.9145], [486146.4287999999, 1100673.4551], [486144.91139999963, 1100674.2642], [486157.1150000002, 1100692.9341000002], [486162.5321000004, 1100689.7690999992], [486166.18570000026, 1100687.2518000007], [486170.78440000024, 1100684.0888999999], [486177.3333999999, 1100679.5844], [486183.8295, 1100673.9381000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
315,330,0,CONDOMINIO LAS RIBERAS DE MONTE GALAN,00001444 M,1,42,00029512 F,00037362 F,090100300031C,,,SDE,2019-01-30 19:15:26,,{4BA8A58C-25CE-4551-84CE-387990373244},22675.13983154297,1511.6760783265659,"{'rings': [[[486248.9628999997, 1100908.2520000003], [486437.58270000014, 1100822.8650000002], [486433.82299999986, 1100794.9844000004], [486428.0751, 1100731.4187000003], [486427.9907999998, 1100728.4693], [486419.36510000005, 1100727.4170999993], [486407.86390000023, 1100724.0563999992], [486400.81489999965, 1100738.3354000002], [486397.91920000035, 1100742.1963], [486392.58999999985, 1100749.3018999994], [486381.0153999999, 1100754.2879000008], [486377.73950000014, 1100755.698999999], [486372.48139999993, 1100758.2819999997], [486365.66750000045, 1100761.6291000005], [486364.7167999996, 1100762.0961000007], [486358.0173000004, 1100764.8548000008], [486349.8558, 1100768.2153999992], [486342.27890000027, 1100771.3353000004], [486333.6775000002, 1100774.8347999994], [486326.29059999995, 1100777.9766000006], [486349.9502999997, 1100829.639799999], [486302.29619999975, 1100848.1248000003], [486295.19579999987, 1100831.8388999999], [486288.4110000003, 1100814.7180000003], [486287.0374999996, 1100815.388699999], [486286.6458999999, 1100815.5814999994], [486278.16860000044, 1100819.7550000008], [486272.18709999975, 1100822.6996999998], [486269.07930000033, 1100823.9428000003], [486259.0373999998, 1100827.9595999997], [486257.33660000004, 1100828.6399000008], [486251.15330000035, 1100831.9849999994], [486265.8459999999, 1100864.2559999991], [486264.0892000003, 1100865.1433000006], [486261.6160000004, 1100866.1734999996], [486247.0099999998, 1100834.226399999], [486243.4000000004, 1100836.179300001], [486237.3392000003, 1100839.2097999994], [486236.1935999999, 1100839.7826000005], [486233.8043999998, 1100840.9771999996], [486228.8777999999, 1100842.7923000008], [486227.2945999997, 1100843.3754999992], [486225.12260000035, 1100844.1756999996], [486221.3729999997, 1100843.523600001], [486219.5050999997, 1100885.8570000008], [486207.18379999977, 1100890.823999999], [486211.53550000023, 1100903.9265], [486215.82550000027, 1100913.8001000006], [486220.11959999986, 1100920.0633000005], [486235.64609999955, 1100933.6489000004], [486248.9628999997, 1100908.2520000003]], [[486382.5345999999, 1100743.6954999994], [486391.19020000007, 1100735.9309999999], [486396.7313000001, 1100728.6294999998], [486397.47190000024, 1100725.0744000003], [486397.3803000003, 1100722.7833999991], [486384.3055999996, 1100719.116800001], [486377.28259999957, 1100717.1472999994], [486371.6152999997, 1100715.2177000009], [486370.9545999998, 1100714.9926999994], [486360.2723000003, 1100711.3556999993], [486359.8766999999, 1100711.9159999993], [486358.9802000001, 1100713.7181000002], [486354.6172000002, 1100722.4573], [486353.2474999996, 1100725.2621999998], [486347.9562999997, 1100736.9814999998], [486347.10529999994, 1100736.9331999999], [486335.67569999956, 1100736.2838000003], [486334.8872999996, 1100736.4067000002], [486331.82239999995, 1100736.6784000006], [486329.75600000005, 1100736.6844999995], [486326.7111999998, 1100736.8904999997], [486324.61089999974, 1100737.4431999996], [486323.6456000004, 1100737.9027999993], [486321.1255000001, 1100739.1028000005], [486315.7862, 1100741.2870000005], [486315.0957000004, 1100741.5694999993], [486308.42650000006, 1100744.1275999993], [486307.16789999977, 1100744.6116000004], [486303.3766999999, 1100746.080600001], [486301.2854000004, 1100746.890900001], [486299.1010999996, 1100747.6722999997], [486298.5349000003, 1100747.8840999994], [486291.24930000026, 1100750.7257000003], [486289.11760000046, 1100751.5570999999], [486281.2101999996, 1100754.6670999993], [486279.0842000004, 1100755.5033], [486279.733, 1100757.0669999998], [486280.22479999997, 1100758.0921999998], [486287.66330000013, 1100774.321799999], [486298.5273000002, 1100799.5909000002], [486303.9441999998, 1100791.3994999994], [486305.0229000002, 1100789.7498000003], [486310.91110000014, 1100780.7442000005], [486311.3470999999, 1100780.0775000006], [486311.7121000001, 1100779.519200001], [486319.2516000001, 1100774.0359000005], [486318.3909, 1100772.0855999999], [486327.1891000001, 1100768.2087999992], [486327.7344000004, 1100767.9749999996], [486335.29949999973, 1100764.7316999994], [486336.12490000017, 1100764.4070999995], [486346.1635999996, 1100760.3291999996], [486355.20859999955, 1100756.7259], [486356.41839999985, 1100756.1564000007], [486364.2905000001, 1100752.6183000002], [486372.67349999957, 1100748.8968000002], [486373.6662999997, 1100748.3814000003], [486382.17140000034, 1100743.8936], [486382.5345999999, 1100743.6954999994]], [[486223.43200000003, 1100825.202299999], [486224.89410000015, 1100824.5274999999], [486230.6058, 1100824.5274999999], [486233.1151999999, 1100825.0851000007], [486236.7745000003, 1100825.8982999995], [486242.7145999996, 1100829.3253000006], [486230.52190000005, 1100800.8638000004], [486221.17619999964, 1100778.424900001], [486218.50650000013, 1100779.3877000008], [486213.7213000003, 1100781.2832999993], [486208.11209999956, 1100783.5300999992], [486206.6270000003, 1100784.1121999994], [486202.1122000003, 1100785.8819999993], [486195.13430000003, 1100788.5595999993], [486195.6299999999, 1100792.7665], [486201.2418999998, 1100840.3948], [486203.1409999998, 1100856.5123999994], [486203.56659999955, 1100856.1831999999], [486205.59520000033, 1100852.2949], [486211.8503999999, 1100847.0540999994], [486217.82469999976, 1100840.1972000003], [486217.1261999998, 1100839.1493999995], [486215.75540000014, 1100833.6662000008], [486218.9539000001, 1100827.2690999992], [486223.43200000003, 1100825.202299999]], [[486263.9952999996, 1100762.8257999998], [486263.54920000024, 1100761.5448000003], [486259.9221000001, 1100762.9815999996], [486256.58690000046, 1100764.3027999997], [486254.3141000001, 1100765.2030999996], [486254.8602999998, 1100766.5305000003], [486275.9491999997, 1100815.4333999995], [486284.3529000003, 1100811.5758999996], [486271.77190000005, 1100780.914999999], [486263.9952999996, 1100762.8257999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
316,331,0,14-50 LOFT,00003369 M,1,28,00106960 F,00106987 F,090001 0015 C,,,SDE,2019-01-30 19:15:27,,{6514B957-A3AC-44B0-88EF-1E7537E8B14B},1094.859375,133.70623462029795,"{'rings': [[[487328.0619000001, 1099007.4407000002], [487312.2686999999, 1098972.3161999993], [487300.6540000001, 1098977.4679000005], [487298.95150000043, 1098978.2230999991], [487298.6827999996, 1098978.3507000003], [487285.9642000003, 1098984.3915], [487302.6947999997, 1099018.9476999994], [487309.49340000004, 1099015.8849], [487328.0619000001, 1099007.4407000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
317,332,0,CONDOMINIO EL TRIGAL,00001232 M,7,14,00023535 F,00023548 F,090099 0014 C,,,SDE,2019-01-30 19:15:27,,{8BD69201-A237-4090-BA8A-9D67B694FC80},1879.0361633300781,174.1674626925613,"{'rings': [[[487129.1721999999, 1099370.2267000005], [487122.66789999977, 1099331.2199000008], [487099.13049999997, 1099335.2799999993], [487075.95100000035, 1099339.2784000002], [487081.97559999954, 1099378.1695000008], [487129.1721999999, 1099370.2267000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
318,333,0,CONDOMINIO HABITACIONAL EL ESTORIL,00000026 M,9,63, , ,090001A0015 C,,,SDE,2019-01-30 19:15:27,,{2C6AEE02-28EF-446A-A992-0D3520CB0850},1136.7793273925781,139.96878431640062,"{'rings': [[[487284.23610000033, 1099119.7103000004], [487249.4797, 1099098.0045999996], [487248.6074999999, 1099104.7793000005], [487246.45859999955, 1099121.4694999997], [487243.8680999996, 1099141.5890999995], [487270.7965000002, 1099144.0396999996], [487271.0999999996, 1099142.9220000003], [487274.66220000014, 1099133.8705000002], [487281.5557000004, 1099122.9107000008], [487284.23610000033, 1099119.7103000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
319,334,0,CONDOMINIO HORIZONTAL RESIDENCIAL SAN GABRIEL,00003027 M,2,2,00086683 F,00086684 F,090152 0008 C,,,SDE,2019-01-30 19:15:27,,{B4062261-CAE6-485E-9E2A-9BBF4DA6EA55},361.374755859375,82.80248557312841,"{'rings': [[[486055.5843000002, 1100799.0642000008], [486059.50930000003, 1100798.3521999996], [486059.12629999965, 1100769.0853000004], [486046.2019999996, 1100771.0735999998], [486047.6244999999, 1100799.5321999993], [486055.5843000002, 1100799.0642000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
320,335,0,CONDOMINIO VERTICAL COMERCIAL TORRE OCHO,00003488 M,8,162,00112472 F,00112633 F,090047200102C,,,SDE,2019-01-30 19:15:28,,{CB711954-357B-4D7D-989A-6E627153237C},3648.4957885742188,301.324151376888,"{'rings': [[[486820.2103000004, 1098699.6845999993], [486843.5432000002, 1098700.4221], [486843.39910000004, 1098699.1982000005], [486842.9737999998, 1098697.0936999992], [486842.70720000006, 1098696.6587000005], [486842.50519999955, 1098696.3073999994], [486842.3136999998, 1098695.9505000003], [486842.13040000014, 1098695.5891999993], [486841.9578, 1098695.2226999998], [486841.7937000003, 1098694.8520999998], [486841.6403999999, 1098694.477], [486841.45079999976, 1098693.9713000003], [486841.27880000044, 1098693.4592000004], [486841.12490000017, 1098692.9414000008], [486840.98900000006, 1098692.4185000006], [486840.87150000036, 1098691.8911000006], [486840.77249999996, 1098691.360200001], [486840.70990000013, 1098690.960000001], [486840.65890000015, 1098690.5580000002], [486840.6065999996, 1098690.020300001], [486840.5730999997, 1098689.4811000004], [486840.55840000045, 1098688.9411999993], [486840.5625, 1098688.4010000005], [486840.58550000004, 1098687.861300001], [486840.6272999998, 1098687.3226999994], [486840.6705, 1098686.9197000004], [486840.72530000005, 1098686.5183000006], [486840.7893000003, 1098686.1183000002], [486840.8651999999, 1098685.7203000002], [486840.98139999993, 1098685.1927000005], [486841.11620000005, 1098684.6696000006], [486841.22869999986, 1098684.2803000007], [486841.3523000004, 1098683.8944000006], [486841.5321000004, 1098683.3849999998], [486841.72950000037, 1098682.8822000008], [486841.9444000004, 1098682.3867000006], [486842.1162999999, 1098682.0196000002], [486842.2988, 1098681.6579999998], [486842.55620000046, 1098681.1831], [486842.82990000024, 1098680.7172999997], [486843.11959999986, 1098680.2613999993], [486843.4249999998, 1098679.8158], [486843.7460000003, 1098679.3813000005], [486844.0817999998, 1098678.9582000002], [486844.43230000045, 1098678.5471], [486844.79679999966, 1098678.1483999994], [486845.07880000025, 1098677.8575], [486845.3690999998, 1098677.5747999996], [486845.6660000002, 1098677.2991000004], [486845.9707000004, 1098677.0319999997], [486846.38719999976, 1098676.6879999992], [486846.70689999964, 1098676.4392000008], [486847.03390000015, 1098676.1996], [486847.47869999986, 1098675.8932000007], [486847.9338999996, 1098675.602499999], [486848.28160000034, 1098675.3945000004], [486848.6353000002, 1098675.1966999993], [486849.1141999997, 1098674.946799999], [486849.60140000004, 1098674.7137000002], [486850.09669999965, 1098674.4978], [486850.5991000002, 1098674.2993], [486850.98000000045, 1098674.1612999998], [486851.36479999963, 1098674.0347000007], [486851.88269999996, 1098673.8805999998], [486852.4056000002, 1098673.7448999994], [486852.93290000036, 1098673.6273999996], [486853.46389999986, 1098673.5285], [486853.8640999999, 1098673.4657000005], [486854.26609999966, 1098673.4148999993], [486854.8037999999, 1098673.3625000007], [486855.34300000034, 1098673.329], [486855.8828999996, 1098673.3143000007], [486856.4232000001, 1098673.3184999991], [486856.96279999986, 1098673.3413999993], [486857.32270000037, 1098673.3670000006], [486857.6358000003, 1098673.3959999997], [486858.0437000003, 1098673.444599999], [486858.43929999974, 1098673.5009000003], [486858.83860000037, 1098673.5697000008], [486859.3351999996, 1098673.6697000004], [486859.5181999998, 1098673.7131999992], [486873.48699999973, 1098625.1550999992], [486868.8239000002, 1098623.8528000005], [486861.70050000027, 1098623.385399999], [486820.00829999987, 1098618.9034000002], [486795.2131000003, 1098618.8436999992], [486795.2276999997, 1098635.6381], [486817.12930000015, 1098631.1254999992], [486816.77419999987, 1098633.8193999995], [486816.49629999977, 1098635.6256000008], [486812.7450000001, 1098653.2709], [486816.6353000002, 1098673.9728999995], [486817.46889999975, 1098677.8631999996], [486820.2103000004, 1098699.6845999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
321,336,0,CONDOMINIO OFICENTRO TORRE CORDILLERA,00003333 M,0,321,00104007 F,00104327 F,090099 0002,,,SDE,2019-01-30 19:15:28,,{E616EA69-0FE1-4118-9A50-A93829252FDB},3450.14111328125,241.4168423128295,"{'rings': [[[487097.18039999995, 1099156.4360000007], [487092.4928000001, 1099117.9980999995], [487022.2067999998, 1099126.7118999995], [487031.40419999976, 1099185.8268], [487033.55759999994, 1099184.8511999995], [487087.2812999999, 1099160.8571000006], [487097.18039999995, 1099156.4360000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
322,337,0,CONDOMINIO VERTICAL HORIZONTAL PARADISUS,00003661 M,15,948,00125106 F,00126055 F,09010030030 C,,,114130745,2020-10-27 21:07:47,,{609EBEF4-2924-4ECB-8DFA-6B461B419C95},16274.04800415039,558.535573103675,"{'rings': [[[486694.44039999973, 1100430.0149000008], [486689.47020000033, 1100429.5645000003], [486610.80649999995, 1100422.4373000003], [486610.53000000026, 1100424.7080000006], [486610.5656000003, 1100425.0172000006], [486608.1196999997, 1100480.3877000008], [486607.16729999986, 1100482.7281999998], [486599.1962000001, 1100502.3161999993], [486593.75459999964, 1100515.6883000005], [486592.94579999987, 1100517.6757999994], [486610.82909999974, 1100524.4163000006], [486606.0876000002, 1100544.7371999994], [486604.0554999998, 1100554.2203000002], [486591.8753000004, 1100550.8367999997], [486591.3520999998, 1100550.6260000002], [486585.24340000004, 1100572.3230000008], [486585.2237999998, 1100572.3868000004], [486687.6612, 1100603.981899999], [486712.6825000001, 1100556.5239000004], [486712.3075000001, 1100531.4067000002], [486696.8929000003, 1100497.990700001], [486694.44039999973, 1100430.0149000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
323,338,0,CONDOMINIO RESIDENCIAL VERTICAL SANTA MONICA,00003418 M,1,10,00010979 F,00109802 F,090151 0021 1,,,SDE,2019-01-30 19:15:28,,{25F0A304-6240-46D1-B7E2-1052FA3F09B9},431.3474426269531,81.96219150713686,"{'rings': [[[486217.3241999997, 1100638.4196000006], [486207.95519999973, 1100649.8060999997], [486206.8139000004, 1100651.1746999994], [486224.6677000001, 1100667.5131], [486231.77979999967, 1100660.1652000006], [486233.99679999985, 1100656.8322], [486234.6599000003, 1100653.9449000005], [486234.2128999997, 1100651.0587000009], [486232.2131000003, 1100649.7284999993], [486230.6571000004, 1100648.1757999994], [486217.3241999997, 1100638.4196000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
324,339,0,CONDOMINIO RESIDENCIAL VERTICAL BELLA VISTA,00003551 M,2,8,00117785 F,00117792 F,090124 0030 1,,,SDE,2019-01-30 19:15:28,,{5D0310D5-3BF1-46F6-B23C-6B085826E2F5},313.41217041015625,77.94105944166064,"{'rings': [[[486097.0226999996, 1100073.0124999993], [486096.1944000004, 1100061.7587000001], [486068.67700000014, 1100063.9041000009], [486069.4676999999, 1100075.2840999998], [486097.0226999996, 1100073.0124999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
325,340,0,CONDOMINIO JAGUA,00003088 M,1,2,00089625 F,00089626 F,090061 0004 1,,,SDE,2019-01-30 19:15:28,,{FF627807-DD20-44C4-B4A8-4A3532766442},236.22012329101562,63.01918751408953,"{'rings': [[[485690.9578999998, 1099307.5899], [485700.1649000002, 1099306.5571999997], [485698.90419999976, 1099294.4925999995], [485679.7993999999, 1099296.3088000007], [485680.0619000001, 1099298.9272000007], [485681.0422, 1099308.7019999996], [485690.9578999998, 1099307.5899]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
326,341,0,CONDOMINIO RESIDENCIAL VERTICAL LA FAVORITA II,00003670 M,2,8,00126624 F,00126631 F,090079 0040 C,,,SDE,2019-01-30 19:15:28,,{DD20F725-8052-48D8-B1C0-B32F313F5171},317.177490234375,74.21767495579961,"{'rings': [[[485839.9380000001, 1099827.3861999996], [485825.15359999985, 1099808.572899999], [485818.3892000001, 1099813.9612000007], [485812.5870000003, 1099819.7753999997], [485812.2522, 1099820.1108999997], [485822.77660000045, 1099827.2244000006], [485830.8332000002, 1099832.6699], [485839.9380000001, 1099827.3861999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
327,342,0,CONDOMINIO VERTICAL RESIDENCIAL LLAMAS DEL BOSQUE,00003667 M,2,4,0126499  F,0126502  F,09000210042 1,,,SDE,2019-01-30 19:15:29,,{81778063-E51B-4CBF-A891-814FBF739B58},335.9640808105469,77.51369422784371,"{'rings': [[[486776.0248999996, 1099803.3085999992], [486775.7774, 1099802.9811000004], [486764.5647999998, 1099809.7474000007], [486778.35759999976, 1099831.4519999996], [486789.2092000004, 1099824.8730999995], [486789.4848999996, 1099824.7042999994], [486789.30730000045, 1099824.4133000001], [486776.0248999996, 1099803.3085999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
328,343,0,CONDOMINIO RESIDENCIAL VERTICAL NUNCIATURA II,00003634 M,4,15,00123732F,00123746F,09000160006 C,,,SDE,2019-01-30 19:16:02,,{511B95EA-A974-4A27-9CA6-204A8CE064B5},687.4140930175781,107.99976947765605,"{'rings': [[[487788.2862999998, 1099433.4684999995], [487761.5038999999, 1099454.7478], [487775.4715999998, 1099470.2599999998], [487778.04580000043, 1099467.9217000008], [487799.93090000004, 1099448.507099999], [487800.35309999995, 1099447.5012999997], [487800.4578999998, 1099446.443], [487800.1919999998, 1099445.2262999993], [487799.4501, 1099444.1159000006], [487798.0203999998, 1099443.0592], [487796.3256999999, 1099441.5793999992], [487788.69859999977, 1099433.9682], [487788.2862999998, 1099433.4684999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
329,344,0,CONDOMINIO VERTICAL RESIDENCIAL TORRE SEIS,00003811 M,3,6,0133235  F,0133240  F,090127B0031 C,,,SDE,2019-01-30 19:15:29,,{9D1BA790-3F82-4167-9B1D-0488EFD1D42B},373.3420715332031,84.05713667404241,"{'rings': [[[486518.9378000004, 1100594.5530999992], [486490.8272000002, 1100586.0701000001], [486487.20150000043, 1100598.0154999997], [486514.9829000002, 1100606.9625000004], [486518.9378000004, 1100594.5530999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
330,345,0,CONDOMINIO CONSTRUIDO SEISCIENTOS DIEZ.VEINTICUATR,00003904 M,3,4,00137771 F,00137774 F,090146 0015 C,,,SDE,2019-01-30 19:15:29,,{30EEDE2C-EA9C-4998-B07C-6E5C3FFA06C6},268.0567321777344,70.61219336935451,"{'rings': [[[485987.4894000003, 1100544.0566000007], [485986.6810999997, 1100533.0456000008], [485962.4841, 1100534.727499999], [485963.2969000004, 1100545.7612999994], [485987.4894000003, 1100544.0566000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
331,346,0,CONDOMINIO RESIDENCIAL HORIZONTAL PLATINO DEL SOLA,00003712 M,2,3,00128357 F,00128359 F,090148 0021 C,,,SDE,2019-01-30 19:15:29,,{710F121F-B74B-44D3-BD32-090C98748EF6},249.37991333007812,65.271553468404,"{'rings': [[[486080.0423999997, 1100425.5604999997], [486077.8403000003, 1100413.6122999992], [486057.78699999955, 1100417.6446000002], [486060.0752999997, 1100429.7042999994], [486080.0423999997, 1100425.5604999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
332,347,0,CONDOMINIO VERTICAL RESIDENCIAL LISA,00003770 M,2,2,00130937 F,00130938 F,090002 00062C,,,USER_INF_GEOGRAFICA,2020-12-09 15:01:48,,{9601A30F-84C3-4C83-A235-269B45CCD2AF},185.35214233398438,62.036365486452915,"{'rings': [[[485235.8195000002, 1100408.4052000009], [485237.32239999995, 1100408.2530000005], [485241.45550000016, 1100407.7173999995], [485239.53450000007, 1100384.8915999997], [485235.60780000035, 1100385.2913000006], [485231.6791000003, 1100385.6952999998], [485233.2715999996, 1100408.6369000003], [485235.8195000002, 1100408.4052000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
333,348,0,CONDOMINIO APARTAMENTOS OLIMPIA,00000195 M,4,9,00003416 F,00003423 F,090120 0011 C,,,SDE,2019-01-30 19:15:29,,{639FC0B8-1A32-4CEB-BFEC-3856FE1B9243},639.5155639648438,105.85222528621735,"{'rings': [[[487364.4159000004, 1099549.4188], [487361.6601, 1099544.3443999998], [487356.2438000003, 1099534.4294000007], [487355.80869999994, 1099534.647500001], [487341.51850000024, 1099546.4408], [487328.24739999976, 1099557.4300999995], [487334.00459999964, 1099563.1821999997], [487342.10840000026, 1099571.269200001], [487343.4155000001, 1099572.4627999999], [487364.4159000004, 1099549.4188]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
334,349,0,CONDOMINIO VERTICAL RESIDENCIAL ACUARELA ROHRMOSER,00003914 M,6,9,00138314 F,00138322 F,090082 0010 C,,,USER_INF_GEOGRAFICA,2020-12-09 15:01:29,,{34183F43-87A2-40C4-BA48-91E21D606029},419.40802001953125,94.12603987198494,"{'rings': [[[486113.7583999997, 1099544.6850000005], [486123.4813000001, 1099507.943], [486111.98759999964, 1099510.5470000003], [486107.3827999998, 1099511.6021999996], [486104.3596000001, 1099540.8563], [486107.8570999997, 1099541.7884], [486112.16110000014, 1099544.0480000004], [486113.7583999997, 1099544.6850000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
335,350,0,CONDOMINIO VERTICAL RESIDENCIAL ALAR,00003773 M,2,4,00130949 F,00130952 F,09000210043 C,,,USER_INF_GEOGRAFICA,2020-12-09 15:01:33,,{41401D42-C0C3-47EE-904E-2C10A5F5AFDE},333.3045959472656,76.93001652770113,"{'rings': [[[486800.78419999965, 1099817.7858000007], [486787.2357000001, 1099796.4608999994], [486776.0248999996, 1099803.3085999992], [486789.30730000045, 1099824.4133000001], [486789.30590000004, 1099824.4198000003], [486789.4848999996, 1099824.7042999994], [486800.78419999965, 1099817.7858000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
336,351,0,CONDOMINIO TOKU,00003898 M,2,0,00137262 F,00137265 F,090197 0019 C,,,106720665,2019-09-23 17:41:08,,{1E56C919-282E-41CA-BF6A-E9F279066153},238.57342529296875,67.69100374971248,"{'rings': [[[485335.70990000013, 1100791.0659999996], [485335.03029999975, 1100780.9996000007], [485311.2951999996, 1100783.0238000005], [485311.9352000002, 1100792.9354999997], [485335.70990000013, 1100791.0659999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
337,353,0,CONDOMINIO FIORELA,00003984 M,2,5,0141449F,0141453F,090002 00048C,,,USER_INF_GEOGRAFICA,2020-12-09 15:06:17,,{BB8CD74A-C485-4434-9E78-A3544581225B},827.5960388183594,122.72009841817393,"{'rings': [[[485220.8205000004, 1100386.7710999995], [485219.1172000002, 1100386.8464000002], [485219.1966000004, 1100387.9575999994], [485209.6716, 1100388.8307000007], [485209.4369000001, 1100384.6725999992], [485195.03220000025, 1100385.6221999992], [485188.7161999997, 1100385.8353000004], [485188.4006000003, 1100392.9024], [485189.5108000003, 1100412.3160999995], [485188.4017000003, 1100412.5944999997], [485188.7461000001, 1100412.6654000003], [485198.44180000015, 1100412.0044999998], [485208.8744000001, 1100411.1776], [485218.7905000001, 1100410.1702999994], [485222.9605999999, 1100409.7287000008], [485220.8205000004, 1100386.7710999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
338,354,0,CONDOMINIO TOKU,00003898 M,2,4,0137262 F,0137265 F,090197 0019C,,,106720665,2019-09-23 17:33:41,,{C1F00A3E-F2DD-4F80-9C8C-5939090FBE35},238.57342529296875,67.69100374971248,"{'rings': [[[485335.70990000013, 1100791.0659999996], [485335.03029999975, 1100780.9996000007], [485311.2951999996, 1100783.0238000005], [485311.9352000002, 1100792.9354999997], [485335.70990000013, 1100791.0659999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
339,355,0,CONDONIMIO HORIZONTAL RESIDENCIAL ILLUSE,00004076 M,2,6,0148376 F,0148377 F,09010030021 C,,,USER_INF_GEOGRAFICA,2020-12-09 15:02:13,,{9B7514D4-0C73-48BD-A365-1B700DE2D252},914.7380981445312,128.40222459382264,"{'rings': [[[486568.8607000001, 1100625.5076000001], [486563.8295999998, 1100623.9275000002], [486528.79229999986, 1100611.3428000007], [486522.00659999996, 1100633.0381000005], [486557.66610000003, 1100643.5490000006], [486562.79509999976, 1100645.1986999996], [486568.8607000001, 1100625.5076000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
