,OBJECTID,CED_JUR_COND,NOMBRE,MATRIZ,NIVELES,CANT_FF,FF_MENOR,FF_MAYOR,LOCALIZACION,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
20,22,0,CONDOMINIO ANTARES ESCALANTE,00000159 M,2,6,00003132 F,00003276 F,010084 0007 C,,,SDE,2019-01-30 19:14:36,,{2B017CFE-CDD4-4A28-8357-76A99C990410},519.6211242675781,91.21490104450592,"{'rings': [[[492835.5449999999, 1098650.6864], [492857.72759999987, 1098648.2572000008], [492855.14159999974, 1098625.5748999994], [492832.70830000006, 1098627.2857000008], [492835.5449999999, 1098650.6864]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,23,0,CONDOMINIO SANTA CLARA,00000982 M,0,8,00018310 F,00018317 F,010086 0001 C,,,SDE,2019-01-30 19:14:37,,{D97879DD-356F-40CE-8CBF-5203D9E051BD},493.59149169921875,89.21894031997401,"{'rings': [[[492342.3701999998, 1098901.8605000004], [492335.99899999984, 1098881.7789999992], [492335.36110000033, 1098879.0283000004], [492334.9371999996, 1098878.4466999993], [492334.24899999984, 1098878.0769999996], [492333.40270000044, 1098878.2895999998], [492324.83469999954, 1098881.7377000004], [492315.5697999997, 1098885.3567999993], [492325.03199999966, 1098908.6572999991], [492342.3701999998, 1098901.8605000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,24,0, ,00001369 M,0,6,00026857 F,00026862 F,010073 0015 C,,,114030753,2021-12-03 20:15:50,,{8B01FC50-B9B3-40BC-B27A-B067D913BB05},357.0663146972656,78.71520636198346,"{'rings': [[[492885.41089999955, 1098467.9353], [492910.40490000043, 1098464.7843999993], [492908.70299999975, 1098450.8659000006], [492883.7087000003, 1098453.6886], [492885.41089999955, 1098467.9353]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,25,0,CONDOMINIO VERTICAL RESIDENCIAL CLAIRE,00002809 M,2,4,00076453 F,00076456 F,010115 0028 C,,,SDE,2019-01-30 19:14:38,,{09008A90-FA06-4B5A-823A-791D45469B61},587.0196228027344,119.55920109985031,"{'rings': [[[493073.6350999996, 1098928.7032999992], [493073.3403000003, 1098925.9168999996], [493060.4820999997, 1098928.3754999992], [493066.0100999996, 1098964.0647999998], [493067.9495000001, 1098977.4716999996], [493079.551, 1098965.7372999992], [493073.6350999996, 1098928.7032999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,26,0,CONDOMINIO TERESA,00000760 M,2,4,00012766 F,00012768 F,010049 0002 C,,,SDE,2019-01-30 19:14:38,,{8B7AAD37-465B-4825-8FF7-7315ACD4F527},512.0462646484375,95.27351984739883,"{'rings': [[[491667.9561999999, 1098804.1405999996], [491673.8312999997, 1098804.8375000004], [491672.51159999985, 1098797.8396000005], [491672.44859999977, 1098797.3397000004], [491672.7609000001, 1098797.1831999999], [491679.6962000001, 1098795.7853999995], [491675.9276999999, 1098777.7444000002], [491675.5508000003, 1098775.8232000005], [491659.18120000046, 1098779.2929999996], [491654.58100000024, 1098802.5610000007], [491656.70600000024, 1098802.8087000009], [491667.9561999999, 1098804.1405999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,27,0,CONDOMINIO VERTICAL DE OF PINAT MERKAZ,00003718 M,3,7,00128528 F,00128534 F,010006 0006 C,,,114030753,2019-07-11 15:05:29,,{4EBCE85E-3A18-4BC1-80FD-407D251101D8},311.061279296875,70.48008354963468,"{'rings': [[[491810.72229999956, 1098415.5021000002], [491810.9899000004, 1098432.4061999992], [491826.73900000006, 1098433.1553000007], [491826.0290999999, 1098420.4692000002], [491825.5290000001, 1098411.5339000002], [491812.90670000017, 1098412.8125999998], [491810.72229999956, 1098415.5021000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,28,0,CONDOMINIO LAS ORQUIDEAS,00000087 M,0,8,00002136 F,00002143 F,020132 0018 C,,,SDE,2019-01-30 19:14:38,,{04E6584B-0A6A-4529-9365-6415CC33034C},706.9886474609375,163.9495538939446,"{'rings': [[[489449.36230000015, 1099102.2825000007], [489448.82490000036, 1099089.009299999], [489421.06549999956, 1099092.5815999992], [489422.6299999999, 1099105.4976000004], [489449.36230000015, 1099102.2825000007]], [[489450.0884999996, 1099125.5700000003], [489449.55140000023, 1099112.2511], [489423.91980000027, 1099115.3731999993], [489424.8459000001, 1099122.8807999995], [489421.82079999987, 1099123.2839000002], [489422.4879999999, 1099128.4639999997], [489450.0884999996, 1099125.5700000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,29,0,CONDOMINIO MALINCHE UNO Y DOS,00001184 M,4,8,00022671 F,00022678 F,020128 0013 C,,,SDE,2019-09-15 04:28:56,,{8F126A64-79BC-4F10-9A6B-319264746487},183.43194580078125,73.43787673333634,"{'rings': [[[489562.2739000004, 1099110.3323], [489562.3657999998, 1099112.0398999993], [489561.9364, 1099112.0629999992], [489562.0557000004, 1099114.2797999997], [489561.68620000035, 1099114.2995999996], [489561.77809999976, 1099116.0072000008], [489562.87739999965, 1099115.9682], [489562.9168999996, 1099116.6170000006], [489566.9939000001, 1099116.4617999997], [489566.9818000002, 1099116.1421000008], [489567.52139999997, 1099116.1215000004], [489567.5334999999, 1099116.4412999991], [489574.7982999999, 1099116.1647999994], [489574.78270000033, 1099115.7551000006], [489575.1524, 1099115.7410000004], [489579.3529000003, 1099108.3629], [489579.27550000045, 1099108.3169], [489579.40309999976, 1099108.102], [489579.39240000024, 1099107.9023000002], [489579.81180000026, 1099107.8796999995], [489579.8267999999, 1099108.1592999995], [489580.0675999997, 1099108.3023000006], [489580.1338999998, 1099108.1905000005], [489580.26290000044, 1099108.2671000008], [489580.1964999996, 1099108.3787999991], [489582.71580000035, 1099109.8749000002], [489582.74650000036, 1099109.8233000003], [489582.9957999997, 1099109.9714000002], [489583.72080000024, 1099108.7503999993], [489582.6891000001, 1099108.1377000008], [489583.25069999974, 1099107.1919], [489584.28249999974, 1099107.8046000004], [489585.01269999985, 1099106.575099999], [489584.76329999976, 1099106.4269999992], [489584.79389999993, 1099106.3753999993], [489582.27469999995, 1099104.8794], [489582.2337999996, 1099104.9482000005], [489582.10479999986, 1099104.8716000002], [489582.1457000002, 1099104.8027999997], [489582.0963000003, 1099103.8840999994], [489581.7368000001, 1099103.9035], [489581.73139999993, 1099103.8036000002], [489579.64439999964, 1099103.9146999996], [489579.65670000017, 1099104.1443000007], [489579.23730000015, 1099104.1668999996], [489579.2249999996, 1099103.9372000005], [489566.5535000004, 1099104.6227000002], [489566.59509999957, 1099105.3915999997], [489567.1941999998, 1099105.3592000008], [489567.2441999996, 1099106.2879000008], [489566.6451000003, 1099106.3202999998], [489566.7949000001, 1099108.9759999998], [489566.8548999997, 1099110.0844], [489562.2739000004, 1099110.3323]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,30,0,CONDOMINIOS MAYA,00000659 M,2,3,00010552 F,00010554 F,020160 0020 C,,,SDE,2019-09-15 04:30:38,,{604B6B32-FFDC-450D-9CBD-76B6B7874FE9},201.53854370117188,60.59419372317597,"{'rings': [[[489779.49430000037, 1099429.1849000007], [489769.77699999977, 1099428.329500001], [489768.0867999997, 1099448.7164999992], [489778.0250000004, 1099449.5418999996], [489779.49430000037, 1099429.1849000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,31,0,COND. CENTRO COLON ASOCIACION DE COPROPIETARIOS,00000003 M,0,0, , ,020104 0001 C,,,SDE,2019-09-15 04:27:34,,{00603AC2-C456-4952-BFFE-1B2650036843},4848.036163330078,287.4639202603882,"{'rings': [[[489449.3510999996, 1098733.2862999998], [489439.76109999977, 1098644.9011000004], [489437.8814000003, 1098642.3661000002], [489387.86930000037, 1098647.6413000003], [489388.04009999987, 1098652.5658999998], [489392.3990000002, 1098703.2707000002], [489394.0762, 1098723.3856000006], [489395.3280999996, 1098738.1974999998], [489449.3510999996, 1098733.2862999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
