,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,SUBCATEGORIA,PROPIETARIO,ID_DISTRITO,SHAPE
24,28,SEGURIDAD,BOMBEROS DE COSTA RICA,BOMBEROS,BOMBEROS,ESTADO,4,"{'rings': [[[492130.6498999996, 1097505.1147000007], [492128.33189999964, 1097502.193], [492123.1989000002, 1097495.7226999998], [492119.4166000001, 1097498.5007000007], [492119.0990000004, 1097498.7339999992], [492124.0728000002, 1097504.8955000006], [492109.0203, 1097516.4968999997], [492114.27809999976, 1097523.0381000005], [492118.8331000004, 1097528.7049000002], [492136.04449999984, 1097514.7313], [492129.2304999996, 1097506.4327000007], [492130.6498999996, 1097505.1147000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,29,SEGURIDAD,CRUZ ROJA COSTARRICENSE,CRUZ ROJA,CRUZ ROJA,ONG,4,"{'rings': [[[492005.1261999998, 1096690.0187], [492003.41779999994, 1096700.7838000003], [492001.66839999985, 1096711.8077000007], [492002.3706, 1096711.9146999996], [492011.5104, 1096713.3069000002], [492011.73029999994, 1096711.739], [492012.2690000003, 1096707.8969999999], [492013.5323999999, 1096698.8872999996], [492014.5711000003, 1096691.4793999996], [492005.1261999998, 1096690.0187]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,30,SEGURIDAD,POLICÍA MUNICIPAL - DELEGACIÓN 76,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,2,"{'rings': [[[491081.27689999994, 1098848.515900001], [491069.02689999994, 1098850.6359], [491055.1568999998, 1098853.0359000005], [491055.31630000006, 1098853.8641], [491027.62689999957, 1098859.1959000006], [491027.9068999998, 1098860.5359000005], [491022.80680000037, 1098861.6153999995], [491022.4769000001, 1098860.0559], [491015.0669, 1098861.6259000003], [491016.45689999964, 1098869.6859000009], [491018.0867999997, 1098879.1159000006], [491021.3069000002, 1098897.7458999995], [491036.14690000005, 1098894.7759000007], [491081.2569000004, 1098885.7358999997], [491084.94689999986, 1098882.0259000007], [491081.27689999994, 1098848.515900001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,31,SEGURIDAD,POLICÍA MUNIICPAL - DELEGACIÓN DE DETENIDOS,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,4,"{'rings': [[[492142.6436999999, 1097450.2072], [492141.6326000001, 1097445.6571999993], [492139.9417000003, 1097438.0479000006], [492139.05840000045, 1097434.0733000003], [492138.4358999999, 1097431.2721999995], [492131.6528000003, 1097433.0154], [492130.4595999997, 1097433.3220000006], [492127.3228000002, 1097434.1282000002], [492129.1032999996, 1097441.3245], [492135.4219000004, 1097439.6890999991], [492136.5351, 1097444.1417999994], [492137.17119999975, 1097443.9827999994], [492138.9205, 1097450.8209000006], [492142.6436999999, 1097450.2072]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,32,SEGURIDAD,POLICÍA MUNICIPAL - DELEGACIÓN PASEO COLÓN,POLICÍA MUNICIPAL,POLICÍA,MUNICIPALIDAD DE SAN JOSÉ,2,"{'rings': [[[489934.89690000005, 1098846.4759], [489934.94689999986, 1098847.2159000002], [489947.7468999997, 1098845.9158999994], [489946.0669, 1098820.4559000004], [489944.54679999966, 1098820.5946999993], [489935.4330000002, 1098821.4603000004], [489920.75349999964, 1098822.8506000005], [489915.9968999997, 1098823.1859000009], [489907.39749999996, 1098823.9437000006], [489907.5469000004, 1098828.1758999992], [489909.1168999998, 1098841.5359000005], [489911.37689999957, 1098841.8209000006], [489934.3482999997, 1098839.5667000003], [489934.4168999996, 1098840.3258999996], [489921.7564000003, 1098841.2059000004], [489921.8169, 1098842.0758999996], [489921.6668999996, 1098847.3258999996], [489934.89690000005, 1098846.4759]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,33,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO ZURQUÍ - SAN FRANCISCO DE DOS RÍOS,POLICÍA,POLICÍA,ESTADO,6,"{'rings': [[[494157.67650000006, 1095704.5967999995], [494152.4463999998, 1095696.4228000008], [494136.49590000045, 1095705.3254000004], [494140.8244000003, 1095713.5567000005], [494157.67650000006, 1095704.5967999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
30,34,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN  SAN FRANCISCO DE DOS RÍOS,POLICÍA,POLICÍA,ESTADO,6,"{'rings': [[[494248.8191999998, 1095875.3059], [494244.6616000002, 1095877.4452999998], [494248.2622999996, 1095884.6468000002], [494252.42399999965, 1095882.6291000005], [494250.6152999997, 1095878.9547000006], [494248.8191999998, 1095875.3059]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
31,35,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN EL BOSQUE - SAN FRANCISCO DE DOS RÍOS,POLICÍA,POLICÍA,ESTADO,6,"{'rings': [[[493289.5903000003, 1095214.0558000002], [493293.2758999998, 1095213.3445999995], [493297.41420000046, 1095212.5687000006], [493296.4442999996, 1095208.3334], [493292.59700000007, 1095209.4326000009], [493289.84889999963, 1095210.0145999994], [493290.04289999977, 1095211.4371000007], [493289.1699999999, 1095211.4693999998], [493289.5903000003, 1095214.0558000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
32,36,SEGURIDAD,BOMBEROS DE COSTA RICA,BOMBEROS,BOMBEROS,ESTADO,9,"{'rings': [[[486955.45710000023, 1099094.4990999997], [486957.17250000034, 1099097.7606000006], [486963.642, 1099110.0610000007], [486965.22250000015, 1099109.3165000007], [486966.13570000045, 1099111.0596999992], [486976.25100000016, 1099106.8087000009], [486983.50299999956, 1099123.353599999], [486999.6978000002, 1099116.2617000006], [487000.8881999999, 1099115.7314999998], [486992.54580000043, 1099096.6958000008], [486998.2675000001, 1099094.1851000004], [486996.85720000044, 1099090.9741999991], [486997.90749999974, 1099090.5141000003], [486994.49650000036, 1099082.7316999994], [486993.49619999994, 1099083.1719000004], [486991.5039999997, 1099078.2770000007], [486986.90110000037, 1099080.3484000005], [486987.6945000002, 1099082.1315000001], [486975.08079999965, 1099087.6631000005], [486974.8306999998, 1099087.0829000007], [486970.39940000046, 1099089.0233999994], [486969.9417000003, 1099087.9805999994], [486955.45710000023, 1099094.4990999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
33,37,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN BARRIO SAUCES - SAN FRANCISCO DE DOS RÍOS,POLICÍA,POLICÍA,ESTADO,6,"{'rings': [[[492882.9924999997, 1095717.0823], [492889.15079999994, 1095716.3717], [492888.91390000004, 1095707.6078999992], [492882.0449999999, 1095708.3184999991], [492882.9924999997, 1095717.0823]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
