,OBJECTID,ID,NOMBRE,CENSO,FINCA,PLANO,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
11,12,0, ,090425 0005 V, ,,,,114820761,2017-01-16 17:18:30,,{9E2E804F-CF02-47B1-BAE9-0D753BD487B0},195.81320190429688,105.67775804924426,"{'rings': [[[483269.4149000002, 1100636.2737000007], [483273.1434000004, 1100634.6856999993], [483251.9400000004, 1100590.6758999992], [483248.3024000004, 1100592.2781000007], [483269.4149000002, 1100636.2737000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,0, ,090425 0006 V, ,,,,114820761,2017-01-16 17:18:37,,{EE44943C-BA1E-4D66-8FA0-5AF401D3591B},522.2972106933594,274.18213513257984,"{'rings': [[[483336.0850999998, 1100691.9699000008], [483339.5937999999, 1100690.296], [483282.14609999955, 1100570.1613999996], [483278.5705000004, 1100571.8554999996], [483336.0850999998, 1100691.9699000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,0, ,090426 0006 V, ,,,,114820761,2017-01-19 15:35:00,,{D5C762FF-0839-4AA1-AA2C-8EB37CB2C90C},476.5587463378906,115.83752245165607,"{'rings': [[[483282.4593000002, 1100499.7690999992], [483285.83669999987, 1100506.8474000003], [483289.2226999998, 1100513.9434999991], [483292.66860000044, 1100521.1652000006], [483296.2149, 1100528.5972000007], [483299.50260000024, 1100535.4871999994], [483303.1266000001, 1100543.0822], [483304.5800999999, 1100542.3884999994], [483310.53270000033, 1100539.5478000008], [483312.07490000036, 1100538.8117999993], [483308.4687000001, 1100531.2413999997], [483305.0235000001, 1100524.0089999996], [483301.7567999996, 1100517.1513999999], [483298.1623999998, 1100509.605799999], [483294.7812999999, 1100502.5079999994], [483291.43879999965, 1100495.4911000002], [483282.4593000002, 1100499.7690999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,0, ,090427 0001 V, ,,,,114820761,2017-01-19 14:57:23,,{9872F0BD-F46F-47A1-8998-6629ADCF53E6},312.1463928222656,108.94179932930399,"{'rings': [[[483327.76240000036, 1100486.7612999994], [483324.43290000036, 1100479.7718000002], [483318.54339999985, 1100482.5777000003], [483321.8820000002, 1100489.5746], [483325.26779999956, 1100496.6702999994], [483328.8671000004, 1100504.2135000005], [483332.13829999976, 1100511.0689000003], [483335.5882000001, 1100518.2990000006], [483339.1994000003, 1100525.8671000004], [483340.2715999996, 1100525.3553999998], [483343.8085000003, 1100523.6675000004], [483345.05869999994, 1100523.0708000008], [483341.5752999997, 1100515.7580999993], [483338.11259999964, 1100508.4891], [483334.7457999997, 1100501.4212999996], [483331.2520000003, 1100494.0867999997], [483327.76240000036, 1100486.7612999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,0,MUNICIPALIDAD DEL CANTON CENTRAL DE SAN JOSE,090427 0002 V,00591883,,,,114820761,2017-01-20 15:18:09,,{B802B9B1-0B0A-4BA6-BCC2-91ECAD321AC3},305.39532470703125,108.61863110863996,"{'rings': [[[483360.9199999999, 1100471.5035999995], [483357.38100000005, 1100464.0745], [483351.61569999997, 1100466.8212000001], [483354.94120000023, 1100473.7906999998], [483358.43560000043, 1100481.1139000002], [483361.93850000016, 1100488.455], [483365.3057000004, 1100495.5117000006], [483368.7730999999, 1100502.7785], [483372.2614000002, 1100510.0888999999], [483373.6908999998, 1100509.4066000003], [483376.79250000045, 1100507.9265], [483377.99650000036, 1100507.3519000001], [483374.64130000025, 1100500.3082999997], [483371.2399000004, 1100493.1678999998], [483367.68879999965, 1100485.7131999992], [483364.37930000015, 1100478.7656999994], [483360.9199999999, 1100471.5035999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,19,0, ,090427 0005 V, ,,,,114820761,2017-01-19 15:03:12,,{C7CC49A0-82BC-4D3E-9AD7-4E5B773A2622},462.3949279785156,114.27634120530594,"{'rings': [[[483462.92009999976, 1100425.0292000007], [483459.0872999998, 1100416.5731000006], [483450.15270000044, 1100420.6238000002], [483453.4637000002, 1100427.9287999999], [483456.7242999999, 1100435.079500001], [483459.90639999975, 1100441.8763999995], [483463.3245000001, 1100449.1775000002], [483466.9304999998, 1100456.8800000008], [483470.0575000001, 1100463.5592], [483471.57629999984, 1100462.8379999995], [483477.0685999999, 1100460.3016], [483478.9685000004, 1100459.5742000006], [483475.8808000004, 1100452.978599999], [483472.51109999977, 1100445.7807999998], [483469.40390000027, 1100439.1436], [483465.8233000003, 1100431.4344999995], [483462.92009999976, 1100425.0292000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,23,0, ,090430 0004 V,00591912,101935261994,,,112250314,2021-11-08 20:16:38,,{DE964283-1B88-4312-B2F9-0B8E77D613ED},171.99404907226562,67.47297837547798,"{'rings': [[[483610.84970000014, 1100399.7799999993], [483598.57079999987, 1100375.143100001], [483593.21449999977, 1100377.6449999996], [483596.4528999999, 1100384.5789], [483599.01630000025, 1100390.0676000006], [483601.6217, 1100395.6461999994], [483604.8180999998, 1100402.4902999997], [483606.2578999996, 1100401.8432999998], [483609.2879999997, 1100400.4816999994], [483610.84970000014, 1100399.7799999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,25,0, ,090429 0005 V,00591901,101935381994,,,112250314,2021-11-09 20:28:30,,{E01E4344-593C-4418-A6E9-FA7CC97FC132},314.29278564453125,115.38485978586023,"{'rings': [[[483586.1448999997, 1100434.0809000004], [483585.51109999977, 1100432.703400001], [483584.30840000045, 1100433.3051999994], [483581.0389999999, 1100434.8034000006], [483579.91449999996, 1100435.321799999], [483583.4483000003, 1100442.7937000003], [483586.3727000002, 1100448.9769000001], [483588.8925999999, 1100454.3048999999], [483591.37370000035, 1100459.551000001], [483594.0685999999, 1100465.2490999997], [483596.5800000001, 1100470.542199999], [483599.20409999974, 1100476.0645000003], [483601.98510000017, 1100481.9168999996], [483607.4852999998, 1100479.3795999996], [483604.9609000003, 1100474.0384], [483602.48730000015, 1100468.8049999997], [483600.0162000004, 1100463.5765000004], [483597.1880999999, 1100457.5930000003], [483594.6935999999, 1100452.3150999993], [483592.10360000003, 1100446.8353000004], [483589.71949999966, 1100441.7909999993], [483586.1448999997, 1100434.0809000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,39,0, ,090427 0003 V, ,,,,114820761,2017-01-19 14:59:07,,{005CC92A-D015-4E0B-8B65-0967ACEDEE86},314.5895690917969,108.96153589791034,"{'rings': [[[483393.57660000026, 1100455.7740000002], [483390.1041000001, 1100448.4843000006], [483384.17679999955, 1100451.3081999999], [483387.71580000035, 1100458.737400001], [483391.17509999964, 1100465.9995000008], [483394.48039999977, 1100472.9381000008], [483398.0356999999, 1100480.4016999993], [483401.43709999975, 1100487.5420999993], [483404.78390000015, 1100494.5680999998], [483406.1656999998, 1100493.9087000005], [483409.6366999997, 1100492.2522], [483410.7093000002, 1100491.7402999997], [483407.4938000003, 1100484.9901], [483403.9883000003, 1100477.6311000008], [483400.54030000046, 1100470.3927999996], [483397.1338999998, 1100463.241800001], [483393.57660000026, 1100455.7740000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
20,40,0, ,090427 0004 V, ,,,,114820761,2017-01-19 15:02:45,,{BCA7DCE7-4A8F-4BB1-9A9A-329BC543B696},289.5238952636719,107.89723339279834,"{'rings': [[[483426.0701000001, 1100440.4423999991], [483422.6135, 1100433.109099999], [483417.0253999997, 1100435.6582999993], [483420.49789999984, 1100442.9480000008], [483424.0552000003, 1100450.4157999996], [483427.46160000004, 1100457.5667000003], [483430.9095999999, 1100464.8050999995], [483434.41509999987, 1100472.1640000008], [483437.64719999954, 1100478.948999999], [483438.9592000004, 1100478.3259999994], [483441.8217000002, 1100476.9668000005], [483443.01860000007, 1100476.3984999992], [483439.80510000046, 1100469.5811], [483436.3559999997, 1100462.2639000006], [483432.9857000001, 1100455.1139000002], [483429.54169999994, 1100447.8072999995], [483426.0701000001, 1100440.4423999991]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
